	IDlokaal	lokaal	volgnummer
332	334	Zevende Departement - Eibergen	0
333	335	Zevende Departement - Neede	0
334	336	Zevende Departement - Rekken	0
335	337	Achtste Departement - Scholtambt Lochem	0
336	338	Achtste Departement - Laren	0
337	339	Achtste Departement - Verwolde	0
338	340	Achtste Departement - Geesteren	0
339	341	Achtste Departement - Gelselaar	0
340	342	Achtste Departement - Dorth	0
341	343	Kwartier van Nijmegen	0
342	344	Kwartier van Zutphen	0
343	345	Kwartier van de Veluwe	0
344	346	Kwartier Arnhem	0
345	347	Kwartier Zutphen	0
346	348	Kwartier Nijmegen	0
347	349	Ring van Gorinchem	0
348	350	Ring van Tiel	0
349	351	Ring van Utrecht	0
350	352	Ring van Amersfoort	0
351	353	Ring van Arnhem	0
352	354	Ring van Doesburg	0
353	355	Ring van Zutphen	0
354	356	Ring van Tiel	0
355	357	Middelburg	0
356	358	Zierikzee	0
357	359	Goes	0
358	360	Tholen	0
359	361	Vlissingen	0
360	362	Veere	0
361	363	Walcheren en Sint Joosland	0
362	364	Schouwen-Duiveland en Sommelsdijk	0
363	365	Zuid-Beveland	0
364	366	Tholen en Sint Philipsland	0
365	367	Noord-Beveland en Wolphaartsdijk	0
366	368	Kwartier Maasland	0
367	369	Kwartier Peelland	0
368	370	Kwartier Kempenland	0
369	371	Stad en Land van Breda	0
370	372	Grave en het Land van Cuijk	0
371	373	Steden en Landen van Bergen op Zoom en Steenbergen	0
372	374	's-Hertogenbosch	0
373	375	Kwartier Oisterwijk	0
374	376	Kwartier I Leiden	0
375	377	Kwartier II Rotterdam	0
376	378	Kwartier III Dordrecht	0
377	379	Kwartier IV Goeree en Overflakkee	0
378	380	Kwartier II Hoorn	0
379	381	Kwartier van Breda	0
380	382	Kwartier van 's-Hertogenbosch	0
381	383	Kwartier van Eindhoven	0
382	384	Arrondissement Middelburg	0
383	385	Arrondissement Meppel	0
384	386	Schouwen (eiland)	0
385	387	Noord- en Zuid-Beveland	0
386	388	Arrondissement Flakkee	0
387	389	Dantumadeel	0
388	390	Ooststellingwerf	0
389	391	Doniawerstal	0
390	392	Stavoren	0
391	393	Groningen	0
392	394	Bolsward	0
393	395	Dokkum	0
394	396	IJlst	0
395	397	Leeuwarden	0
396	398	Franeker	0
397	399	Harlingen	0
398	400	Workum	0
399	401	Sneek	0
400	402	Zuidlaren	0
401	403	Vries	0
402	404	Peize	0
403	405	Assen	0
404	406	Gasselternijveen	0
405	407	Zweelo	0
406	408	Beilen	0
407	409	Dwingeloo	0
408	410	Oosterhesselen	0
409	411	Eelde	0
410	412	Anloo	0
411	413	Ruinen	0
412	414	Wapserveen	0
413	415	Vledder	0
414	416	Pesse, Echten en Ansen	0
415	417	Roswinkel	0
416	418	Schoonebeek	0
417	419	Nijeveen	0
418	420	Zuidwolde	0
419	421	Rolde	0
420	422	Emmen	0
421	423	Hoogeveen	0
422	424	Sleen	0
423	425	Diever	0
424	426	Kolderveen	0
425	427	Roden	0
426	428	Borger	0
427	429	Havelte	0
428	430	Anloo	0
429	431	Meppel	0
430	432	Gasselte	0
431	433	Gieten	0
432	434	Norg	0
433	435	Ruinerwold	0
434	436	Roden	0
435	437	Dalen	0
436	438	Coevorden	0
437	439	Odoorn	0
438	440	De Wijk	0
439	441	Smilde	0
440	442	Koekange	0
441	443	Westerbork	0
442	444	Hindeloopen	0
443	445	Heerenveen	0
444	446	Gouda	0
445	447	Schiedam	0
446	448	Monnickendam	0
447	449	Schoonhoven	0
448	450	Rotterdam	0
449	451	Alkmaar	0
450	452	Enkhuizen	0
451	453	Purmerend	0
452	454	Delft	0
453	455	Hoorn	0
454	456	Banne Westzaan	0
