	IDRegent	IDBron	deel en paginanummer
9771	5221	346	p. 86/87, noot 74
9772	5222	346	p. 86/87, noot 74.
9773	5223	346	p. 86/87, noot 74.
9774	5224	346	p. 86/87, noot 74.
9775	566	346	p.88, p. 89+noot 83, p. 90 noot 87, p. 96.
9776	1941	277	p. 119.
9777	4589	272	1459-1461, 2100.
9778	1991	272	1492-1493, 1578-1581.
9779	2234	272	20, 249, 250, 1445-1448, 1512.
9780	1979	345	p. 446.
9781	1950	272	1220, p. 38.
9782	639	272	461-462, 464.
9783	1023	274	295-318, 319, 1397-1403, 1404, 1713-1722, 1872-1887, 3327-3331, 4423-4428, 5015.
9784	1809	263	p. 557
9785	2648	263	p. 569.
9786	631	263	p. 550.
9787	2642	263	p. 548 (nr. 505).
9788	4550	263	p. 554.
9789	2526	263	p. 364 nr. 221.
9790	785	353	regest 1445-02-17.
9791	2046	369	webside geen paginering
9792	1615	10	486.
9793	4471	277	p. XVII, 118.
9794	637	66	(1965) 127-128
9795	1350	499	T 1400.
9796	4469	277	p. XVIII, 110.
9797	4470	277	p. XIX, 109.
9798	5420	277	p. XXIII, 108.
9799	1871	66	(1936) 397, (1952) 144.
9800	2169	345	p. 389, 438.
9801	4508	348	3174.
9802	5438	272	1270, 1335.
9803	2467	367	p. 650.
9804	2508	367	p. 630.
9805	4230	263	p. 339 (nr. 180), 357 (nr. 204).
9806	3511	367	p. 635.
9807	5454	367	p. 637.
9808	4579	367	p. XXXI, p. 647.
9809	5468	367	p. 641.
9810	4583	367	p. XXXI, Bijlage 7, 8.
9811	5478	368	p. 761.
9812	2870	371	p. 159 + noot 91.
9813	668	496	nr. 345, 357, 360.
9814	4738	373	p. 199-200, 225 n. 14.
9815	2084	444	6-7.
9816	2289	292	121,  212,  p. 93.
9817	2931	349	954, 956.
9818	1950	372	514 (p. 287).
9819	5489	383	inv.nr. 1592a.
9820	2895	181	153.
9821	4139	217	p. 93.
9822	4436	226	p. 469.
9823	4438	226	p. 480.
9824	4437	226	p. 478.
9825	4439	226	p. 482.
9826	3806	226	p. 483.
9827	4440	226	p. 485.
9828	3089	226	p. 572.
9829	4310	226	p. 298.
9830	3580	217	p. 147.
9831	4284	226	p. 20-21
9832	3417	217	p. 39.
9833	3313	217	p. 21.
9834	664	217	p. 196-197
9835	4136	217	p. 73.
9836	759	217	p. 95.
9837	3553	217	p. 109, 115.
9838	4344	217	p. 177.
9839	4349	217	p. 197.
9840	399	217	p. 229-230.
9841	3308	217	p. 12.
9842	3804	226	p. 486.
9843	4457	226	p. 576.
9844	4464	226	p. 589.
9845	4352	217	p. 213.
9846	4448	226	p. 527.
9847	4121	217	p. 29.
9848	4306	226	p. 294.
9849	4311	226	p. 299.
9850	4342	217	p. 151.
9851	4279	226	p. 67.
9852	4140	217	p. 94-95.
9853	4443	226	p. 492.
9854	4453	226	p. 548, 559.
9855	4129	217	p. 64.
9856	4392	226	p. 303.
9857	4122	217	p. 32.
9858	4386	226	p. 114.
9859	4281	226	p. 70.
9860	4409	226	p. 359.
9861	3912	226	p. 267.
9862	4273	226	p. 48, 53-54
9863	3548	217	p. 82.
9864	4394	226	p. 308.
9865	4427	226	p. 444.
9866	4452	226	p. 547.
9867	3336	217	p. 27.
9868	3531	217	p. 62.
9869	5406	66	(1961) 409.
9870	373	479	bijlagen, regesten RA 1938, nr. X052.
9871	4412	226	p. 391.
9872	4410	226	p. 362.
9873	3795	226	p. 545.
9874	4374	420	.
9875	4446	420	.
9876	4124	217	p. 52, 53.
9877	4124	226	p. 31.
9878	4120	217	p. 22.
9879	4407	226	p. 356.
9880	4298	226	p. 274
9881	4430	226	p. 448.
9882	4278	226	p. 64.
9883	4277	226	p. 62.
9884	3538	217	p. 75.
9885	2435	217	p. 101.
9886	4405	226	p. 352.
9887	4276	226	p. 60.
9888	5105	487	167.
9889	3830	503	inv. nr. 1, p. 5.
9890	4350	217	p. 205.
9891	4351	217	p. 210.
9892	4455	226	p. 565.
9893	4262	226	p. 153.
9894	2380	217	p. 65.
9895	4382	387	p. 509
9896	3913	226	p. 608.
9897	3867	217	p. 30.
9898	4385	226	p. 112.
9899	4144	217	p. 103.
9900	2353	236	p. 142, 145.
9901	4361	217	p. 237.
9902	4454	226	p. 550.
9903	4477	226	p. 597.
9904	4445	226	p. 521.
9905	4429	226	p. 447.
9906	4404	387	p. 507.
9907	2389	226	p. 6, 10.
9908	2556	387	510.
9909	418	217	p. 203.
9910	417	151	III-1, p. 477, IV-1, p. 89.
9911	4134	217	p. 69.
9912	4395	226	p. 308.
9913	4513	166	p. 744.
9914	4145	217	p. 104.
9915	4367	217	p. 252.
9916	4135	217	p. 72.
9917	4135	226	p. 25, 26.
9918	4266	226	p. 123.
9919	4387	226	p. 116.
9920	4357	217	p. 235.
9921	4290	226	p. 226.
9922	4441	226	p. 486.
9923	4444	506	nr. 49.
9924	4415	226	p. 416.
9925	4296	226	p. 272.
9926	4474	226	p. 594.
9927	4398	226	p. 316.
9928	4384	226	p. 109, 110, 126, 128.
9929	2316	217	p. 237/238.
9930	4396	226	p. 309.
9931	4149	217	p. 122.
9932	4421	226	p. 433.
9933	4432	226	p. 452.
9934	3489	226	p. 548.
9935	4343	217	p. 175.
9936	4272	226	p. 46.
9937	4297	226	p. 274
9938	4353	217	p. 225.
9939	4347	217	p. 186.
9940	410	353	285, 1372, 1743.
9941	4255	226	p. 212.
9942	4450	226	p. 540, 596.
9943	4377	226	p. 17.
9944	4370	219	p. 275.
9945	4288	226	p. 222.
9946	1814	217	p. 160.
9947	3101	217	p. 142.
9948	3101	226	p. 276.
9949	4146	217	p. 112.
9950	4379	226	p. 65.
9951	3448	219	p. 299.
9952	4345	496	nr. 48.
9953	1085	2	II, 404.
9954	4312	226	p. 301.
9955	4366	217	p. 250.
9956	4372	219	p. 277, 286.
9957	4275	226	p. 59.
9958	4128	217	p. 63.
9959	4147	217	p. 115.
9960	4291	226	p. 228
9961	4305	226	p. 292.
9962	4363	217	p. 244.
9963	4456	226	p. 567.
9964	4406	226	p. 354.
9965	4376	444	37-40.
9966	4356	217	p. 233.
9967	4393	226	p. 307.
9968	4346	217	p. 182.
9969	4265	226	p. 138
9970	4354	217	p. 226.
9971	2338	151	IV-1, p. 49.
9972	4425	226	p. 440.
9973	4280	226	p. 68-69.
9974	4301	226	p. 284.
9975	4462	226	p. 586, 587.
9976	4397	226	p. 311, 312, 313.,
9977	4423	226	p. 437.
9978	4368	217	p. 253.
9979	4416	226	p. 417.
9980	4293	226	p. 257.
9981	4459	226	p. 580.
9982	4304	226	p. 290.
9983	4478	226	p. 601.
9984	4127	217	p. 59.
9985	4422	226	p. 435.
9986	4411	226	p. 364.
9987	4256	226	p. 211.
9988	4419	226	p. 423, 424.
9989	4177	226	p. 366.
9990	4451	226	p. 542.
9991	4150	217	p. 134.
9992	4420	226	p. 425.
9993	4126	217	p. 58.
9994	4408	226	p. 357.
9995	4365	217	p. 247, 248.
9996	4442	226	p. 490.
9997	2328	217	p. 118.
9998	4461	226	p. 585.
9999	4355	217	p. 231.
10000	4302	226	p. 286.
10001	772	217	p. 217.
10002	725	217	p. 182.
10003	4434	226	p. 458.
10004	412	217	p. 232.
10005	4390	226	p. 236.
10006	4125	217	p. 54.
10007	680	217	p. 191.
10008	795	217	p. 199.
10009	3828	219	p. 309.
10010	4371	219	p. 277.
10011	4466	226	p. 593.
10012	4292	226	p. 233.
10013	4271	226	p. 44.
10014	3334	217	p. 23.
10015	4447	421	.
10016	774	217	p. 171.
10017	1021	423	II, 471.
10018	4458	226	p. 577.
10019	4274	226	p. 56
10020	4463	226	p. 588.
10021	4294	226	p. 264.
10022	3835	226	p. 302.
10023	753	226	p. 146.
10024	4465	226	p. 591.
10025	4286	226	p. 131.
10026	4253	226	p. 216.
10027	4479	226	p. 603.
10028	3847	226	p. 316.
10029	4257	226	p. 207.
10030	4401	226	p. 339.
10031	4341	217	p. 150.
10032	4341	226	p. 305.
10033	3392	217	p. 31.
10034	4011	226	p. 134.
10035	3585	217	p. 153.
10036	4358	393	II, 9.
10037	3800	226	p. 534.
10038	3831	226	p. 17.
10039	4295	226	p. 268.
10040	3784	226	p. 561
10041	4252	217	p. 157.
10042	3425	217	p. 48.
10043	3468	217	p. 55.
10044	3591	217	p. 164.
10045	4259	226	p. 193
10046	4378	387	p. 506-507.
10047	4750	151	I-1, p. 255.
10048	3562	217	p. 129.
10049	357	586	nr. 309.
10050	1097	217	p. 206.
10051	818	226	p. 45.
10052	3796	226	p. 543.
10053	829	499	T 1277.
10054	1627	447	regest nr. 179, 200, 204.
10055	3539	217	p. 76.
10056	2666	219	p. 277.
10057	3426	217	p. 49.
10058	4289	226	p. 223.
10059	4431	226	p. 450.
10060	4424	226	p. 439.
10061	3790	226	p. 552
10062	4475	226	p. 596.
10063	3535	217	p. 70.
10064	2690	309	158.
10065	3310	217	p. 18.
10066	3310	226	p. 119-120
10067	3550	217	p. 90.
10068	4402	226	p. 339.
10069	4270	226	p. 122.
10070	4417	226	p. 419.
10071	4449	226	p. 536.
10072	3648	608	regest nr. 196.
10073	4254	521	nr. 1605.
10074	3789	226	p. 553
10075	3786	226	p. 558
10076	4299	226	p. 278-279.
10077	3414	217	p. 34.
10078	4418	226	p. 421.
10079	779	217	p. 166.
10080	4619	337	geen paginering/nummering
10081	3554	217	p. 109.
10082	4433	226	p. 456.
10083	4261	226	p. 157.
10084	1611	217	p. 113.
10085	3574	217	p. 137.
10086	3101	512	nr. 362.
10087	3562	517	nr. 1015, 1016.
10088	4287	387	p. 509
10089	545	272	nr. 57.
10090	5525	151	I-1, 160.
10091	2990	390	nr. 229.
10092	971	396	219-221
10093	4988	470	nr. 141.
10094	677	390	nr. 158.
10095	805	390	nrs. 146, 235
10096	671	390	nr. 46.
10097	5118	399	I-2, 688.
10098	656	390	nrs. 7, 14, 159-160.
10099	1091	390	nrs. 2, 145, 158-160.
10100	755	390	nr. 119.
10101	3114	504	inv.nr. 18, p. 571v; inv. nr. 19, p. 159v, 240.
10102	4505	393	I, 218..
10103	740	393	I, 340.
10104	719	393	I, 347.
10105	876	393	I, 629.
10106	170	392	I, 44.
10107	827	393	II, 216.
10108	5288	393	II, 338, 340, 341.
10109	3322	393	II, 340-341.
10110	425	394	77, 79, 110, 112-113.
10111	1020	399	I-2, 889.
10112	293	504	inv. nr. 18, p. 571v, 449v, 269v.
10113	372	399	I-2, 1124.
10114	465	398	regest 1302.
10115	739	399	II-1, 364.
10116	710	399	I-2, 1165.
10117	820	399	I-1, 649.
10118	4307	400	nr. 1244, f. 3
10119	4498	399	I-2, 1010.
10120	5286	504	inv.nr. 18, p. 21v.
10121	512	399	I-2, 957.
10122	3003	399	I-2, 1107.
10123	1096	399	I-2, 674, 732.
10124	3124	401	nr. 1, f. 1r; nr. 1419, f.75v.
10125	676	400	nr. 1213, f. 93, 96.
10126	507	401	nr. 239, f. 16.
10127	757	410	nr. 457.
10128	1076	415	nr. 14.
10129	870	401	nr. 549, f. 33; nr. 2221, f. 115.
10130	4806	292	nr. 659, p. 106.
10131	3443	107	2451, 2888, 1825, 12265.
10132	5060	401	nr. 1671, f. 86; nr. 2683, f. 138.
10133	775	401	nr. 601.
10134	734	401	nr. 593.
10135	4091	401	nrs.1371, 1381, 1396, 1399.
10136	672	401	nr. 1347.
10137	405	402	f. 12r.
10138	2030	66	(1972) 273.
10139	500	423	II, 55.
10140	4359	423	II, 55..
10141	744	423	II, 55.
10142	4915	407	nr. 17, 39, 41
10143	393	407	nr. 13, 20, 32, 49.
10144	984	423	II, 91.
10145	5491	423	II, 91, 471.
10146	729	423	II, 471.
10147	5533	141	dl.3, bijlage [3] p. 40
10148	504	496	nr. 127.
10149	406	353	nr. 1916.
10150	5099	53	437.
