	IDRegent	IDBron	deel en paginanummer
575	374	25	48.
576	377	9	145.
577	377	12	VII, 1030.
578	379	4	IX, 23.
579	379	8	89 (2000/2001) 209.
580	380	2	220.
581	380	5	576.
582	380	12	IX, 1055.
583	380	15	22.
584	383	7	33 (1947) 148.
585	383	12	VIII 569.
586	384	4	II, 526.
587	384	5	527.
588	384	12	I, 533.
589	386	2	144.
590	386	5	669.
591	387	2	71.
592	387	5	434.
593	387	19	236.
594	388	2	122.
595	388	12	VIII, 845.
596	390	2	29.
597	392	2	226.
598	392	9	147.
599	392	12	IV, 1277.
600	393	2	39.
601	393	9	138.
602	393	12	III, 120.
603	395	7	37 (1951) 398.
604	396	2	131.
605	396	9	143.
606	398	2	182.
607	398	4	IX, 35.
608	398	7	56 (1970) 143.
609	398	12	IX, 756.
610	399	2	65.
611	399	12	IX, 166.
612	401	9	116.
613	401	12	VIII, 856.
614	402	9	59.
615	402	20	295.
616	403	2	253.
617	403	5	693.
618	403	7	41 (1955) 343.
619	403	12	IX, 1245.
620	404	4	VI, 86.
621	404	12	I, 906.
622	405	2	149.
623	405	4	VIII, 38.
624	405	12	VIII, 1008.
625	406	2	257.
626	406	12	X, 1206.
627	407	4	IX, 32.
628	407	12	VIII, 1238.
629	407	15	22.
630	408	2	99.
631	408	8	84 (1994) 86.
632	408	12	VI, 673.
633	408	15	17.
634	410	9	108.
635	411	9	144.
636	412	8	46 (1953) 562.
637	412	12	III, 1524.
638	413	9	62.
639	413	10	1767.
640	414	9	60.
641	415	8	43 (1950) 313.
642	416	4	III, 146.
643	417	8	44 (1951) 153.
644	417	9	146.
645	417	16	290.
646	419	10	1251.
647	419	24	7.
648	421	9	121.
649	422	2	57.
650	422	4	III, 6.
651	422	9	87.
652	426	2	228.
653	426	8	45 (1952) 143.
654	426	9	54.
655	426	10	1702.
656	426	18	296.
657	427	8	83 (1993) 185.
658	427	9	140.
659	427	12	III, 466.
660	428	8	89 (2000/2001) 287.
661	429	4	X,  84.
662	429	8	43 (1950) 265.
663	429	12	III, 1071.
664	430	8	79 (1988) 207.
665	430	9	93.
666	430	20	155.
667	431	3	no. 3446
668	431	4	II, 216.
669	431	9	102.
670	431	12	I, 378.
671	432	3	no. 3456
672	433	25	36, 165.
673	434	9	113.
674	434	12	III, 543.
675	435	4	XII, 48.
676	435	8	46 (1953) 343.
677	438	2	70.
678	438	9	139.
679	438	12	VII, 350.
680	439	9	92.
681	439	12	VIII, 33.
682	440	4	IV, 26.
683	440	12	IX, 195.
684	441	2	146.
685	441	9	88.
686	441	12	VIII, 1006.
687	441	19	145.
688	442	9	159.
689	444	9	82.
690	445	4	VIII, 173.
691	445	9	81.
692	446	2	148.
693	446	4	VIII, 36.
694	446	9	159.
695	447	2	75.
696	447	8	82 (1992) 40.
697	447	9	73.
698	448	2	65.
699	448	9	98.
700	448	12	VIII, 324.
701	449	6	no. 884
702	449	8	79 (1988) 368.
703	449	9	101.
704	450	4	IX, 17.
705	450	8	89 (2000/2001) 338.
706	450	9	94.
707	453	4	X, 182.
708	453	9	94.
709	455	4	VI, 10.
710	455	9	151.
711	455	12	I, 845.
712	455	20	255.
713	457	9	133.
714	457	12	IX, 1105.
715	458	4	VII, 104.
716	460	4	VII, 30.
717	460	9	93.
718	460	12	VII, 465.
719	460	16	285.
720	461	9	174.
721	462	7	1 (1910) 270.
722	463	4	II, 182.
723	463	12	I, 356.
724	464	4	III, 145.
725	465	8	89 (2000/2001) 332.
726	465	12	IX, 747.
727	469	4	III, 7.
728	469	12	IX, 123.
729	470	26	361.
730	473	7	2 (1911) 455.
731	475	8	89 (2000/2001) 529, 534.
732	483	2	50.
733	483	4	II, 368.
734	485	4	II, 16.
735	485	12	II, 77.
736	487	4	IV, 135.
737	487	8	82 (1992) 132.
738	487	9	74.
739	487	12	IV, 544.
740	488	4	XII, 12.
741	488	8	46 (1953) 225.
742	488	9	134.
743	488	12	IX, 1274.
744	489	4	II, 467.
745	490	10	1449.
746	493	9	83.
747	496	4	II, 400.
748	496	12	IV, 299.
749	497	7	7 (1916) 172.
750	497	9	110.
751	498	2	100.
752	498	4	VI, 27.
753	498	12	VIII, 666.
754	499	8	88 (1999) 422.
755	499	16	288.
756	500	8	44 (1951) 404.
757	500	9	68.
758	501	9	88.
759	502	4	XII, 91.
760	502	7	36 (1950) 370.
761	502	9	87.
762	507	7	2 (1911) 451.
763	508	2	219.
764	508	5	464.
765	508	8	44 (1951) 423.
766	508	19	230.
767	510	12	III, 1064.
768	511	4	XII, 55.
769	511	12	X, 1197.
770	512	4	VII, 32.
771	512	12	IV, 829.
772	513	9	138.
773	514	2	63.
774	514	4	IV, 67.
775	514	9	139.
776	514	12	VIII, 299.
777	522	8	79 (1988) 445.
778	522	9	102.
779	524	2	105.
780	524	4	VI, 83.
781	524	12	IX, 327.
782	525	4	X, 48..
783	526	5	207.
784	529	16	285.
785	531	2	244.
786	531	7	13 (1923) 449.
787	531	9	98.
788	531	12	IX, 1212.
789	531	26	361.
790	532	2	112.
791	532	7	38 (1952) 164.
792	533	7	10 (1919) 340.
793	533	9	151.
794	533	12	III, 953.
795	533	24	12.
796	534	4	VII, 61.
797	535	4	XI, 75.
798	535	8	45 (1952) 517.
799	535	12	V, 978.
800	539	3	no. 3301
801	539	4	IV, 2.
802	539	9	61.
803	539	10	564.
804	539	12	I, 665.
805	540	4	IX, 92.
806	540	12	VII, 937.
807	547	2	38.
808	548	2	48.
809	548	4	II, 323.
810	548	12	IV, 260.
811	549	3	no. 3593
812	549	4	II, 515.
813	549	12	I, 529.
814	554	8	83 (1993) 142.
815	555	12	I, 1132.
816	556	8	85 (1995) 351.
817	556	12	IX, 377.
818	557	2	139.
819	557	7	39 (1953) 162.
820	558	7	40 (1954) 211.
821	560	15	19.
822	563	4	VIII, 281.
823	564	2	183.
824	564	4	IX, 38.
825	564	12	IX, 758.
826	565	12	II, 1178.
827	567	2	224.
828	567	4	X, 296.
829	567	12	VIII, 1285.
830	568	2	237.
831	568	4	XI, 2.
832	570	2	251.
833	570	8	46 (1953), 204.
834	570	9	149.
835	570	12	VII, 1297.
836	571	4	XII, 14.
837	572	4	XII, 107.
838	575	5	519.
839	578	15	18.
840	579	5	551.
841	579	15	18.
842	580	5	566.
843	580	8	90 (2002/2003) 310.
844	581	5	570.
845	582	4	X, 268.
846	582	5	574.
847	582	7	43 (1957) 272.
848	583	5	542.
849	584	5	580.
850	586	2	58.
851	586	4	III, 15.
852	586	12	VII, 272.
853	587	26	360.
854	588	3	no. 3653
855	589	2	108.
856	589	8	85 (1995) 49.
857	589	15	17.
858	589	26	360.
859	591	2	163.
860	591	12	VIII, 1098.
861	592	26	360.
862	594	4	IX, 154.
863	596	26	363.
864	598	8	45 (1952) 93.
865	598	12	V, 833.
866	598	20	161.
867	598	26	361.
868	600	26	361.
869	603	5	434.
870	603	19	266.
871	604	4	IV, 141.
872	604	7	48 (1962) 4.
873	604	19	87.
874	605	19	127.
875	606	5	436.
876	606	19	229.
877	607	19	98.
878	608	4	VII, 65.
879	608	19	118.
880	610	7	28 (1942) 123.
881	610	19	155.
882	612	5	450.
883	612	19	266.
884	613	2	151.
885	613	12	IV, 890.
886	614	8	87 (1998) 284.
887	614	15	19.
888	614	19	92.
889	615	7	52 (1966) 335.
890	615	12	VII, 1136.
891	616	5	453.
892	616	19	249.
893	617	5	455.
894	618	5	461.
895	618	19	223.
896	619	5	462.
897	619	19	251.
898	620	19	147.
899	621	19	183.
900	622	19	95.
901	623	2	242.
902	623	19	148.
903	624	2	246.
904	624	4	XI, 80.
905	624	5	468.
906	624	7	6 (1915) 386.
907	624	12	V, 1041.
908	624	19	234.
909	625	4	XII, 47.
