	alias	IDPersoon
352	Karel de Smytere	2794
353		3371
354	Willem Simonsz.	5138
355	Dirk de Klerk.	2559
356	Pieraart Assche	2641
357	Molencamp.	1952
358	Pieter Jansz. Rijswerkere.	2961
359	Dever.	1860
360		5330
361		2544
362	Ydo Jacobsz. (van der Tholen).	5365
363	Komen of Commines	718
364	Willem de bastaard van Beieren.	5444
365	Rodenrijs/Kralingen.	2084
366	Avenkind	2483
367	Mogelijk dezelfde als Adriaan Pietersz.	2896
368	Simon Sillemoer Klaasz. Schol	3442
369	Huge Pietersz.	5191
370	Mol	3113
371	Klaas Taemsz.	1115
372	Bantschon.	5668
373	Jan met de bellen	1977
374	van Oosterland.	5050
375	Pieter van Renesse (van Beoostenzweene).	1027
376	Viglius Zuichemus ab Aytta; Wieger Aytta van Swichum.	243
377	Everard Everaerts.	327
378	Cornelis Nieustadt, Neostadius, Nijestadt.	86
379	Simon van Teilingen vanaf 1339.	1863
380	Jacob Pauwelsz. Hallincq.	3559
381	(Hoogstraat) (Gobburgenz.z.)	3102
382	Gerard van Leiden.	1992
383	van Genuchten.	3880
