	alias	IDPersoon
378	Steengracht van Oosterland	2216
379	Griffioen van Waarder	2852
380	Sloet van Warmelo	3415
381	Sloet van Westerholt	3417
382	Van Rhemen van Rhemenshuizen	3501
383	Van Rhemen van Rhemenshuizen en de Geldersche Toren	3501
384	Van Isselmuden van Zwollingercamp	3502
385	Van Heerdt tot Eversberg	3522
386	Gansneb genaamd Tengnagel van de Luttenberg	3676
387	Van Pallandt van Eerde	3716
388	Sloet van Tweenyenhuizen en Bredenhorst	3736
389	Borssele van der Hooghe	3839
390	Van Nagell van Ampsen	4249
391	Van Boetzelaer van Kijfhoek	1957
392	Calkoen van Kortenhoef	755
393	François van Harencarspel Decker van Beverwijk	2126
394	Van Kuffeler van Hoogeveen	2088
395	Van der Mandere van Ouwerkerk	3869
396	Nagell	4249
397	Buyesius	1669
398	Edzard Jacob Lewe van Middelstum	5098
399		5547
400	Berend Alting	5330
401	Daniel Henri l'Argentier	5702
402	Hindrick Grauwens	5403
403	Johannes Grauwens	5435
404	Hendrik van Heek	4285
405	Borchert van Aswede	4288
406	Nicolaas van Millinga	4289
407	Sijger Sijgers	4290
408	Siger de Sigers	4290
409		4303
410	Rudolf Dijk	4311
411	Eling Ketel	4322
412	Hendrik Swartte	4323
413		5380
414	Pompejus de Valcke	4370
415	Abel Coenders de oudere	5011
416	Abel Coenders de jongere	5741
417	Sijger Sijgers in den Dam	5386
418	Wicher Wichers de jongere	5744
419	Wicher Wichers de oudere	5745
420	Theodorus Jacob Clant	5136
421		5350
422	Johan de Mepsche op den Ham	5378
423	Willem Ubbena de jonge	5423
424	Edzard Rengers ten Post	5472
425	Reint Alberda de jonge	5594
426		5596
427	Ulrich van Ewsum	5675
428	Focko Ulfarts van Hoysum	5446
429		5009
430	Otto van Farmsum	5026
431		5931
432	Johan van Meurs	5192
433	Jan Remmert Clant van Godlinze	5271
434	Hendrik van Bushoff (Boshoff).	6577
435	Meurs	6578
436	Hartfelt	5760
437	Joan Frederik Gordon	5174
438	Adriaan Wolter Willem Stoet tot Diepenbroek	6796
439	Alexander Munq de oude	6941
440	't manke van Furstendom van Gelre	4960
441	Guillielmo Bartolotti	7387
442	Cornelis Nicolaessoon	7481
443	van Diederen	6586
444	Martin Gregorii	5749
445		7681
446		7684
447	Willem Jansz. Franken Lakekooper	6748
448	Bossu	8108
