	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode
450	1130	Spangen	van (der)	6.0	1.0	Filips Egbertsz.	1		Spangen	Vlijmen, 's-Gravenmoer, Nagtegaal, Raamsdonk, Waspik	1430	1	1509.0	0	"Volgens Prevenier II zowel Filips als Gerrit (Filipsz.) van Spangen gelijktijdig baljuw van Schieland (1455-1458)
Adelstitel: ridder 1486.
Overig: hoogheemraad Schieland 1484, 1488, 1492, 1503."	0
451	1154	Houfflin		1.0	2.0	Jan	0					0		0		0
452	1217	Meer	van der	1.0	1.0	Jan	0					0		0		0
453	1218	Blote	die	1.0	1.0	Ogier Hugenz.	0					0		0		0
454	1221	Alkemade	van	1.0	1.0	Hendrik IJsbrandsz.	0					0		0	Bij Erfgoed Leiden dubbel klikken op inventarisnr(s).	0
455	1223	Cleerhaghe		1.0	1.0	Juliaan	0				1555	1	1598.0	1		0
456	1234	Klaasz.		1.0	1.0	Gerrit	0					0		0		0
457	1242	Zale(n)	de	1.0	1.0	Klaas	0					0		0		0
458	1244	Jansz.		1.0	1.0	Jan	0					0		0		0
459	1246	Blois	bastaard van	1.0	1.0	Cornelis Jansz.	0					0		0		0
460	1248	Jansz.		1.0	1.0	Hanneke	0					0		0		0
461	1251	Hoep		1.0	1.0	Willem Jansz.	0					0		0	Bij Erfgoed Leiden dubbel klikken op inventarisnr(s).	0
462	1287	Tetrode	van	1.0	1.0	Willem	0					0		0	Persoonsgegevens: zoon van Willem vrouw Baartenz.	0
463	1289	Westfelinc		1.0	1.0	Joost	0					0		0		0
464	1290	Loeff		1.0	1.0	Anthonis	0					0		0		0
465	1318	Kampe	uten	11.0	1.0	Leon	1					0		0		0
466	1319	Driewegen		1.0	3.0	Maarten Willemsz.	0					0		0		0
467	1340	Bourgondië	van	6.0	1.0	Adolf	1		Beveren	Veere en Vlissingen, Tornehem en Brouwershaven, Wackene en Kapelle	1489	1	1540.0	0	Adelstitel: ridder in de Orde van het Gulden Vlies 1516.	0
468	1342	Ellertsz.		1.0	1.0	Willem	0					0		0		0
469	1343	Jansz.		1.0	1.0	Jacob	0					0		0		0
470	1345	Coudenhoven	van	1.0	1.0	Arnoud	0					0		0	De ambachten zijn waarschijnlijk Krimpen aan de IJssel, Krimpen aan de Lek, Zuidbroek en Ouderkerk aan de IJssel.	0
471	1360	Assendelft	van	1.0	3.0	Pieter	0					0		0		0
472	1371	Woude	van den	1.0	1.0	Huge	0					0		0		0
473	1399	Gramaye		1.0	1.0	Jacob	0					0		0	Persoonsgegevens: broer van Thomas Gramaye.	0
474	1402	Goes	van der	1.0	3.0	Arend	0				1475	0	1545.0	0		0
475	1404	Goes	van der	1.0	3.0	Arnoud	0					0		0	Overig: pensionaris van Schiedam rond 1563. Onduidelijkheid: Adriaan Arendsz. van der Goes is landsadvocaat van de Staten van Holland van 1544-1560.	0
476	1405	Gerritsz.		1.0	1.0	Huge	0					0		0		0
477	1417	Delen	van	1.0	1.0	Wouter	0					0		0		0
478	1429	Moons		1.0	1.0	Pieter Willemsz.	0					0		0		0
479	1451	Einde		1.0	1.0	Michiel	0					0		0		0
480	1452	Pighuis		1.0	1.0	Wijnand	0					0		0		0
481	1453	Willemsz.		1.0	1.0	Klaas	0					0		0		0
482	1457	Bort		1.0	1.0	Willem Paulsz.	0					0		0	Bij Erfgoed Leiden dubbel klikken op inventarisnr(s).	0
483	1458	Toll	van	1.0	1.0	Arnoud	0					0		0		0
484	1460	Gerritsz.		1.0	1.0	Dirk	0					0		0	Bij Erfgoed Leiden dubbel klikken op inventarisnummer(s).	0
485	1461	Hendriksz.		8.0	1.0	Jan	1					0		0		0
486	1462	Hans		1.0	1.0	Pieter Pietersz.	0					0		0	Bij Erfgoed Leiden dubbel klikken op inventarisnr(s).	0
487	1464	Lennardsz.		1.0	1.0	Lentje	0					0		0		0
488	1465	Lambrechtsz.		1.0	1.0	Lambrecht	0					0		0		0
489	1473	Willemsz.		1.0	1.0	Gerrit	0					0		0		0
490	1474	Zoope		1.0	1.0	Adriaan Jansz.	0					0		0		0
491	1477			1.0	1.0	Klaas	0					0		0		0
492	1478	Vianen	van	6.0	1.0	Jan	1		Noordeloos	Nieuwkoop, 't Goy		0	1442.0	1	"Adelstitel: ridder 1411.
Overig: burggraaf van Montfoort."	0
493	1479	Frankenz.		1.0	1.0	Arend	0					0		0		0
494	1481	Witte	de	1.0	1.0	Jan	0					0		0	Persoonsgegevens: volgens Damen, Staat van dienst, en Prevenier III mogelijk dezelfde als Jan Jansz. de Witte. (Blecourt en Prevenier II-1 maken onderscheid)	0
495	1483	Woerden	van	1.0	1.0	Dirk Thierry Jansz.	0					0		0		0
496	1493	Wagewijns		1.0	1.0	Jan	0					0	1599.0	0		0
497	1502	Wenyns		1.0	1.0	Michiel	0					0		0		0
498	1505	Henegouwen	van	1.0	1.0	Floris	0					0		0	"Persoonsgegevens: zoon van graaf Jan van Henegouwen en Aleid van Holland, neef van graaf Floris V van Holland en Zeeland.
Overig: ridder in Orde van  Sint Jacobs in 1279."	0
499	1509	Woutersz.		1.0	1.0	Jan	0					0		0		0
500	1510	Arnoudsz.		1.0	1.0	Roelof	0					0		0		0
501	1511	Gerbrandsz.		1.0	1.0	Rembrand	0					0		0		0
502	1512	Doevenz.		1.0	1.0	Reinier	0					0		0		0
503	1514	Bartoudsz.		1.0	1.0	Jan	0					0		0		0
504	1516	Morant		1.0	1.0	Jan	0					0		0		0
505	1517	Bouwensz.		1.0	1.0	Jan Willem	0					0		0		0
506	1518	Schoten	van	1.0	1.0	Jan	0					0		0	Jan Willemsz. van Schoten was lid van de stadsregering van Haarlem	0
507	1519	Kapelle	van der	1.0	1.0	Jan	0					0		0		0
508	1520	Asch	van	1.0	1.0	Jacomart	0					0		0		0
509	1521	Leuze	van	1.0	1.0	Mahieu	0					0		0		0
510	1522	Malburgh	van	1.0	1.0	Hendrik Ottensz.	0					0		0	datum in functie 1378 is zeer onzeker	0
511	1523	Ghemont	van	1.0	1.0	Arend	0					0		0		0
512	1526	Amerongen	van	1.0	1.0	Noijde Meeusz.	0					0		0		0
513	1527	Paedze		1.0	1.0	Willem	0					0		0		0
514	1528	Asch	van	1.0	1.0	Pieter	0					0		0		0
515	1531	Kerk	van der	1.0	1.0	Jacob	0					0		0		0
516	1534	Cramer		1.0	1.0	Dirk Jansz.	0					0		0		0
517	1535	Hoensz.		1.0	1.0	Jan Dirk	0					0		0		0
518	1537	Rasoir		1.0	1.0	Jan	0					0		0		0
519	1508	Moyken		1.0	1.0	Simon	0					0		0	Persoonsgegevens: volgt broer Klaas van Uitgeest op als schout van Alkmaar.	0
520	1541	Oem		1.0	1.0	Tielman	0					0		0	"Persoonsgegevens: zoon van Godschalk Oem van Wijngaarden (Tielmansz.), muntmeester te Dordrecht 1419-1429.
Is dit dezelfde als Tielman Oem van Wijngaarden (ook zoon van Godschalk Oem van Wijngaarden Tielmansz.)?"	0
521	1542	Oem		1.0	1.0	Godschalk Tielmansz.	0					0		0	Kleinzoon van Godschalk Oem van Wijngaarden (Tielmansz.) muntmeester van Dordrecht 1419-1429.	0
522	1544	Musch		1.0	1.0	Arend	0					0		0		0
523	1545	Brabant	van	1.0	1.0	Jan	0					0		0	Overig: werd na werk in Hollandse dienst muntmeester van Brabant, Henegouwen en in de door Bourgondië geëxploiteerde munthuizen te Amiens en Saint-Quentin	0
524	1547	Overstege	van	1.0	1.0	Jacob Pietersz.	0					0		0		0
525	1548	Overstege	van	1.0	1.0	Jan Vastaertsz.	0					0		0		0
526	1550	Groenewold		1.0	1.0	Dirk	0					0		0		0
527	1552	Derdannen	van	1.0	1.0	Jan	0					0		0		0
528	1555	Dirks		1.0	1.0	Jacob	0					0		0		0
529	1556	Beaumont	van	1.0	1.0	Dirk	0					0		0		0
530	1558	Levendaal	van	1.0	1.0	Lodewijk	0					0		0	Overig: werd later te Utrecht benoemd.	0
531	1561	Diergaard		1.0	1.0	Ambrosius	0					0		0		0
532	1564	Waasbroek	van	1.0	1.0	Jan	0					0		0	Hij ontving met zijn compagnon in 1500 een nieuwe instructie.	0
533	1567	Carlier		1.0	1.0	Anthonis	0					0		0		0
534	1568	Bakker		1.0	1.0	Willem	0					0		0		0
535	1582	Noirot		1.0	1.0	Jan	0					0		0		0
536	1615	Quevin		1.0	1.0	Pieter	0					0		0	Persoonsgegevens: Broer van Jan Quevin.	0
537	1620	Bucho		1.0	5.0	Berend	0				1465	0	1528.0	0	"Persoonsgegevens: ook: Aytta, Barend. Oom  en leermeester van Viglius van Aytta.
Overig: Deken van Hofkapel 1519-1528."	0
538	1624	Bandenburg	van	6.0	1.0	Jan	1					0		0		0
539	1629	Gapinge	van	1.0	1.0	Pieter	0					0	1443.0	1	Ook bekend als als Pieter Jacobsz. van Delft en heer Peter de klerk, priester.	0
540	1630	Goch	van	1.0	1.0	Jan	0					0	1447.0	0		0
541	1637	Klaasz. (van Schoonhoven)		1.0	3.0	Hendrik	0					0	1525.0	1	"Persoonsgegevens: vader van Jan Hendriksz.
Overig: 1514-1515 aangeklaagd voor Grote Raad, zoon Jan is dan substit.-griffier."	0
542	1645	Hendriksz.		1.0	3.0	Cornelis	0				1439	1	1515.0	1		0
543	1647	Willemsz.		1.0	1.0	Willem	0					0	1491.0	1		0
544	1651	Allardsz.		1.0	1.0	Albrecht	0					0		0		0
545	1654	Annocque		11.0	1.0	Pieter	1		Bergen (N-H)			0		0		0
546	1515	Boite		1.0	1.0	Raoul	0					0		0	Tegelijkertijd muntmeester van Henegouwen onder dezelfde muntheer Willem I/III van Henegouwen/Holland.	0
547	1604	Waddincx		1.0	1.0	Floris	0					0		0		0
548	1660	Assendelft	van	1.0	1.0	Willem	0					0	1467.0	0		0
549	1662	Bye	de	1.0	1.0	Filips	0					0		0		0
550	1663	Bye	de	1.0	1.0	Willem	0					0		0		0
551	1668	Bokel		11.0	1.0	Jacob	1		Bloemersdijk	Rode Zand, op Weena		0	1447.0	1	Heemraad van Schieland, ambachtsheer van IJsselmonde 1444.	0
552	1673	Borselen	uit	1.0	1.0	Jacob	0					0		0	Overig: deken van Oostvoorne 1457-1467.	0
553	1676	Brandijn		1.0	3.0	Pieter	0					0		0		0
