	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode
3064	2060	Holland		1.0	1.0	Dirk	0					0		0	Overig: klerk van de kost 1421.	0
3065	2062	Horn	van	6.0	1.0	Dirk Loef	1		Altena			0	1390.0	0		0
3066	2063	Horn	van	6.0	1.0	Willem IV	1		Altena	Horn		0	1343.0	0		0
3067	2065	Horst	van der	6.0	1.0	Arend	1					0		0	Raad van Willem III en Margaretha.	0
3068	2067	IJsselstein	van	6.0	1.0	Arend	1		den Bossche (bij Maarssen)	Ijsselstein, Benschop, Polsbroek, Obburen		0		0	Adelstitel: ridder 1310, baanrots 1354.	0
3069	1042	Kats	van	8.0	1.0	Laurens	1		Wolfertsdijk	Kats, Duiveland, Simonskerk, Brouwershaven		0	1442.0	0	Adelstitel: knaap 1416.	0
3070	2077	Kairscorf		1.0	1.0	Wouter	0					0		0	In dienst van Jan van Beieren 1418-1420.	0
3071	2078	Kanssen		1.0	1.0	Jan	0					0		0		0
3072	2308	Bijl		1.0	1.0	Jan Dirksz.	0					0		0		0
3073	2087	Kralingen	van	6.0	1.0	Willem	1		Sluipwijk	Ravensbeerg, Zuidwijk		0	1405.0	0	Adelstitel: ridder 1360.	0
3074	2089	Kruiningen	van	6.0	1.0	Arend	1					0		0	Adelstitel: knaap 1416, ridder 1418.	0
3075	2090	Kruiningen	van	6.0	1.0	Jan I	1		Kruiningen	Woensdrecht		0	1346.0	1	Adelstitel: ridder 1297.	0
3076	2091	Kruiningen	van	6.0	1.0	Jan II	1		Kruiningen	Woensdrecht		0	1354.0	0	Adelstitel: ridder 1340.	0
3077	2094	Kuser van Oosterwijk	van	6.0	1.0	Koen	1		Amstelveen	Sloten, Osdorp		0	1407.0	0	"Adelstitel: ridder 1396.
Zoon van Willem de Kuser.
Bottelier van Albrecht van Beieren 1362. 
In ongenade 1403."	0
3078	2099	Leeuw		1.0	1.0	Jacob	0					0		0	Overig: leverancier van de graven 1399-1406.	0
3079	2109	Maalstede	van der	1.0	1.0	Wolfert Lodewijksz.	0					0		0	Overig: hoofdman van Zuid-Beveland 1352.	0
3080	2112	Malburg	van	1.0	1.0	Adriaan	0					0		0		0
3081	2113	Matenesse	van	8.0	1.0	Adriaan	1					0	1435.0	0	Adelstitel: knaap 1416.	0
3082	2114	Matenesse	van	6.0	1.0	Daniel	1		Riviere	Sluipwijk, Ravensberg, 's-Gravenkoop		0	1376.0	0	Adelstitel: ridder 1347.	0
3083	2115	Matenesse	van	6.0	1.0	Wouter	1		Riviere			0		0	"Adelstitel: ridder 1400.
Overig: hoogheemraad van Schieland 1395."	0
3084	2117	Merwede	van de	6.0	1.0	Daniel IV	1					0	1331.0	0	"Adelstitel: ridder 1305.
Smit geeft als overlijdensjaar omtrent 1341."	0
3085	2119	Merwede	van de	6.0	1.0	Daniel VI	1					0	1379.0	0	Adelstitel: knaap 1349, ridder 1356.	0
3086	3703	Pietersz.		1.0	1.0	Jacob	0					0		0	"wordt omschreven als ""oude schout""in 1552."	0
3087	3890	Brederode	van	6.0	1.0	Willem	1					0		0		0
3088	2121	Merwede	van de	6.0	1.0	Klaas	1		Burgst			0	1392.0	0	"Adelstitel: ridder 1359. Ambachtsheer in de Grote Waard.
Overig: in dienst van Jan van Blois."	0
3089	2416	Boekhorst	van de	1.0	1.0	Willem	1				1465	1	1552.0	1		0
3090	2125	Mijnden	van	6.0	1.0	Wouter	1		Loosdrecht	Mijnden, Ruwiel		0	1422.0	0	Adelstitel: ridder 1375.	0
3091	2126	Mijnden	van	1.0	1.0	Wouter	0					0		0		0
3092	821	Egmond	van	3.0	1.0	Frederik	1		IJsselstein	Buren, Leerdam, Kranendonk	1440	1	1521.0	0	"Persoonsgegevens: zoon van Willem van Egmond (ov. 1483).
Adelstitel: ridder 1474, graaf van Buren en Leerdam 1498.
Overig: drost van de Veluwe."	0
3093	648	Foreest	van	11.0	1.0	Herper	1		Middelburg	Schoterbosch		0		0		0
3094	3342	Teilingen	van	1.0	1.0	Christoffel	0					0		0	Overig: superintendant.	0
3095	2148	Noordeloos	van	8.0	1.0	Ricoud	1		Toloysen			0	1319.0	0	Adelstitel: knaap 1291.	0
3096	2132	Montfoort	van	6.0	1.0	Hubrecht	1					0	1400.0	0	Overig: raad van Guy van Blois.	0
3097	129	Pijnssen		11.0	2.0	Willem	1		Offem		1497	1	1545.0	0	Persoonsgegevens: zoon van Jacob Pijnssen.	0
3098	2134	Moordrecht	van	6.0	1.0	Jacob	1		Moordrecht			0	1330.0	0	Adelstitel: ridder 1311.	0
3099	666	Boudijnsz.z.		1.0	1.0	Jacob Jan	0					0		0	Volgens Cox waarschijnlijk dezelfde als Jacob Jansz., schout van Alkmaar tussen 17-09-1408/ 31-12-1410.	0
3100	2137	Biggekerke	van		1.0	Hendrik Hugenz.	0					0		0		0
3101	2140	Naerssen	van		1.0	Jan	0					0		0		0
3102	4628	Gerritsz.		1.0	1.0	Klaas Matheusz.	0					0		0		0
3103	824	Kamp	uten	1.0	1.0	Dirk	0					0		0		0
3104	2142	Nassau	van	3.0	1.0	Jan	1		Greiffenstein			0	1429.0	1	Adelstitel: (jong)graaf	0
3105	2149	Noordwijk	van	8.0	1.0	Jan	1		Noordwijkerhout			0	1370.0	1	"Adelstitel: knaap 1348.
Overig: meesterknaap van de herberg 1346-1348. Verbannen 1350/51."	0
3106	4459	Govertsz.		1.0	1.0	Schiltman	0				1475	1		0		0
3107	2151	Oostende	van	6.0	1.0	Gerrit	1					0		0	Meester-ridder van Machteld van Lancaster 1353-1355.	0
3108	2152	Oosterhout	van	6.0	1.0	Willem	1		Oosterhout	Dongen, Castricum, Raamsdonk		0	1400.0	0	"Adelstitel: ridder 1356.
Overig: amnestie 1354."	0
3109	1612	Overvest	van	11.0	6.0	Laurens (Damasz.)	1		Vossemeer			0	1427.0	1	"Adelstitel: In 1415 tot adelstand verheven.
Overig: klerk van de kost van Willem van Oostervant 1392-93, 1395, 1397, 1404."	0
3110	2351	Oem van Wijngaarden	van	1.0	1.0	Dirk	0					0		0	Prevenier geeft als datum van dagvaartvermelding 1490.	0
3111	2356	Poelgeest	van	6.0	1.0	Adriaan Jansz.	1		Klein Poelgeest			0	1507.0	0	"Adelstitel: schildknaap 1487, ridder 1499 of 1502.
Overig: hoogheemraad van Rijnland."	0
3112	2082	Kervink van Reimerswaal		6.0	1.0	Klaas	1		Lodijk	Nieuw-Strijen		0		0	"Adelstitel: ridder 1396. 
Schmidt p. 106 (baljuw Tholen en Schakerloo 1381-1383) mogelijk Klaas van Reimerswaal?"	0
3113	2026	Heemstede	van - de jonge	6.0	1.0	Jan	1		Heemstede	Benthuizen		0		0	Adelstitel: ridder 1403.	0
3114	2017	Heemskerk	van	6.0	1.0	Gerrit	1		Luttik Oosthuizen	Rietwijk, Nieuwerkerk		0		0	Adelstitel: ridder 1311.	0
3115	2057	Hart		1.0	1.0	Adriaan	0					0		0		0
3116	2164	Poel	van den	6.0	1.0	Gijsbrecht	1					0		0	"Adelstitel: ridder 1410.
Overig: in dienst van Willem van Oostervant 1398."	0
3117	2165	Poel	van den	6.0	1.0	Jan	1					0	1392.0	1	"Bastaardzoon van graaf Willem III bij Gertruid van den Poel.
Adelstitel: ridder 1347.
Meesterridder 1386,.
Overig: baljuw van Henegouwen (1367-1368), proost van Maubeuge (1371-1372)."	0
3118	1835	Adrichem	van	11.0	1.0	Floris	1		Akendam	Hofland, Haarlemmerliede		0	1430.0	0		0
3119	3098	Brederode	van	6.0	1.0	Dirk Willemsz.	1					0	1318.0	0		0
3120	3192	Haak		1.0	1.0	Hendrik	0					0		0		0
3121	1867	Berwaarde	van	6.0	1.0	Adam	1					0	1388.0	0	"Adelstitel: ridder 1355.
Overig: klerk van van Machteld van Lancaster 1353-1355, koster van de Hofkapel 1352-1354.
Vogens Janse: stadhouder van Zeeland Bewesterschelde (geen datering)"	0
3122	3247	Pijlijser		1.0	1.0	Willem Hendriksz.	0					0	1520.0	0		0
3123	1878	Blote		8.0	1.0	Filips Hugenz.	1					0	1426.0	0	"Adelstitel: knaap 1416.
In grafelijke dienst 1405."	0
3124	1887	Borselen	van	6.0	1.0	Dirk	1		Zuilen			0	1408.0	0	Adelstitel: ridder 1401.	0
3125	1892	Borselen	van	6.0	1.0	Hendrik	1					0	1359.0	0	Adelstitel: knaap 1351, ridder 1355.	0
3126	1900	Borselen	van	6.0	1.0	Raas	1		Ellewoutsdijk			0	1390.0	0	Adelstitel: ridder 1359.	0
3127	1902	Borselen	van	6.0	1.0	Wolfert IV	1		Veere	Zandenburg		0		0	"Adelstitel: ridder 1366.
Overig: burggraaf van Zeeland 1372."	0
3128	2191	Kerstantz.		1.0	1.0	Reinier	0					0		0	Overig: klerk van de grafelijke kost 1393-1404.	0
3129	1980	Meliskerke	van	1.0	1.0	Simon Jansz.	0					0		0		0
3130	1920	Bruelis	van	6.0	1.0	Jan	1					0		0	Adelstitel: ridder 1351.	0
3131	1702	Hart		11.0	1.0	Boudijn	1		Abbenbroek			0		0	Heer van Abbenbroek namens zijn vrouw voor 1/8 deel.	0
3132	2175	Polanen	van	6.0	1.0	Jan III	1		Niervaart	"de Lek, Breda, Heemskerk, Castricum, 
onster"		0	1394.0	0	Adelstitel: ridder 1371, baanrots 1386/87.	0
3133	2173	Polanen	van	6.0	1.0	Jan I	1		Heemskerk	Castricum		0	1342.0	0	"Adelstitel: ridder 1328.
Persoonsgegevens: halfbroer van Willem van Duvenvoorde."	0
3134	2177	Praet	van	6.0	1.0	Boudijn	1		Putten	Strijen		0	1360.0	0	Adelstitel: baanrots 1354.	0
3135	1056	Pressy	van	6.0	1.0	Jan	1		Maisnil			0	1452.0	1	Overig: in dienst van Filips de Goede.	0
3136	2192	Klaasz.		1.0	1.0	Reinier	0					0		0		0
3137	2194	Renesse	van	6.0	1.0	Costijn	1		Baarland			0		0	Adelstitel: ridder 1341.	0
3138	4065	Heemskerk	van	6.0	1.0	Gerrit Bartoudsz.	1					0		0	Adelstitel: ridder 1342.	0
3139	2240	Toloysen	van	6.0	1.0	Daniel	1		Toloysen	Giessen		0	1389.0	0	Adelstitel: knaap, ridder 1388.	0
3140	2199	Willemsz.		8.0	1.0	Renger	1		Kats			0		0	Overig: rentmeester over geheel Zeeland van 1363-1374.	0
3141	4376	Fijck van Hove		1.0	1.0	Joost	0					0		0		0
3142	566	Boschuysen	van	11.0	1.0	Bruining	1		Blotinge			0	1498.0	0	"Persoonsgegevens: zoon van Floris van Boschuysen.
Overig: burgemeester 1479-1481 en  vroedschap 1479-1489 van Leiden. Tresorier van de oorlog voor Staten van Holland (1481-1482). Meilink nr. 1623 voorheen bekend onder inv. nrs. 1625 en 1626."	0
3143	2202	Rietveld	van	1.0	1.0	Gijsbrecht	0					0		0	Overig: in het gevolg van Jan van Beieren 1419.	0
3144	4370	Does	van der	1.0	1.0	Hendrik	0				-	0		0		0
3145	2208	Plemper		1.0	1.0	Simon Jansz.	0					0		0	Bij Erfgoed Leiden dubbel klikken op inventarisnr(s).	0
3146	551	Say		1.0	1.0	Bengaard Jansz.	0					0	1466.0	1	Overig: na conflict met Goeswijn de Wilde wordt hij in 1449 verbannen.	0
3147	2480	Moyaard		1.0	1.0	Jan	0					0		0	Deurwaarder 31-7-1326.	0
3148	2195	Renesse	van	6.0	1.0	Jan	1		Renesse	Gouda		0	1304.0	0	Adelstitel: ridder: 1296.	0
3149	1475	Eijnde	van den	1.0	1.0	Loef	0					0		0		0
3150	2223	Spangen	van	11.0	1.0	Egbert	1		Overschie			0	1438.0	0	Overig: balling , verzoend 1427.	0
3151	2225	Spiker		1.0	1.0	Arend	0					0		0	Kanunnik te Den Briel 1378, van Den Haag 1389, van St. Pieter te Utrecht 1389.	0
3152	2227	Stapel	van	6.0	1.0	Jan	1		Valkenisse			0	1421.0	0	Adelstitel: ridder 1397.	0
3153	2232	Strijen	van	6.0	1.0	Hugeman	1		Zevenbergen			0	1403.0	0	"Adelstitel: ridder, baanrots 1386/1387. 
Samen met Paul van Haastrecht grafelijk zegelaar."	0
3154	2241	Tonsus		1.0	1.0	Willem	0					0		0		0
3155	2246	Venedau		1.0	1.0	Jan	0					0		0	Overig: hoogheemraad van de Grote Waard.	0
3156	1897	Borselen	van	6.0	1.0	Klaas Raasz.	1		Kortgene			0		0	"Adelstitel: ridder 1367.
Overig: ruwaard van Zeeland 1396."	0
3157	2248	Vianen	van	6.0	1.0	Hendrik II	1		Vianen	't Goij, Ameide		0		0		0
3158	1064	Wassenaar	van	6.0	1.0	Jan (Filipsz.)	1		Voorburg			0	1445.0	0	"Broer van Hendrik van Wassenaar.
Adelstitel: knaap 1420, ridder 1426."	0
3159	2255	Voorhout	van	1.0	1.0	Hector	0					0		0	Overig: raad van Filips de Goede.	0
3160	2263	Wassenaar	van	6.0	1.0	Dirk IV	1		Voorburg	Voorschoten, Katwijk etc.		0	1391.0	0	"Adelstitel: knaap 1349, ridder 1357,.
Overig: burggraaf van Leiden 1348-1351, 1357-."	0
3161	1970	Duvenvoorde	van	6.0	1.0	Willem	1		Almonde	Dubbelmonde, Oosterhout, Vianen, 't Goy, Dongen, Breda		0	1353.0	0	"Persoonsgegevens: halfbroer van Jan I van Polanen.
Adelstitel: ridder 1328.
Overig: grafelijk kamerling van Willem III en IV (1317-1340)."	0
3162	2272	Diedwiensz.	vrouw	1.0	1.0	Jan	0					0		0		0
3163	2276	Woude	van (den)	11.0	1.0	Jacob IV	1		Warmond	Esselikerwoude, Alkemade		0	1431.0	0		0
3164	2288	Zevender	van der	1.0	1.0	Frederik	0					0		0	Raad van Jan van Blois.	0
3165	2417	Adriaansz.		1.0	1.0	Klewaard	0					0		0		0
3166	2278	Pietersz.		1.0	1.0	Wouter	0					0		0	Prevenier geeft als datum van dagvaartvermelding 24-12-1375.	0
3167	2279	Zadelaar		1.0	3.0	Willem	0					0		0	Overig: secretaris en raadsheer van Filips de Goede.	0
3168	2292	Zwan		1.0	1.0	Reinier	0					0		0	Gaarder van bede van Amstel- en Waterland 1403/1404.	0
3169	5125	Uutenbroek		1.0	1.0	Jan Smit Dirksz.	0					0		0	NOG: of is het Smit Uutenbroek, Jan Dirksz.? er is ook een Jan Smit, schout van Voorburg 1435.	0
3170	2297	Akkerman		1.0	1.0	Hendrik	0					0		0		0
3171	2299	Poes		1.0	1.0	Dirk	0					0		0		0
3172	1965	Dussen	van der	6.0	1.0	Jan	1		Drimmelen	Stanthasen		0	1325.0	0	Smit laat het rentmeesterschap eindigen in 1316 toen het overgenomen werd door Ricauld van Noordeloos; bij Burgers loopt het nog door tot 1319.	0
3173	2301	Annoque		1.0	1.0	Robbert Jacobsz.	0					0	1505.0	1	"Bij Meilink wordt hij klerk-generaal der bewapening genoemd.
p. 154 nr. 1603 was voorheen bekend onder inv. nr. 1712.
Overig: pensionaris van Amsterdam 1485-."	0
3174	2305	Baecxem	van	6.0	1.0	Jan	1					0		0	Adelstitel: ridder 1489.	0
3175	2816	Kampen	van	1.0	1.0	Frank Cornelisz.	0					0		0		0
3176	2306	Bakel	van	1.0	1.0	Klaas Dirksz.	0					0		0		0
3177	1803	Bauw		6.0	1.0	Hendrik	1		Rodenburg			0		0	"Adelstitel: ridder 1472.
Overig: drossaard van Breda 1478."	0
3178	4187	Matheusz. (Mathijsz.)		1.0	1.0	Hildebrand	0				1523	1		0		0
3179	2331	Rijks		1.0	1.0	Laurens	0					0		0		0
3180	552	Bossaert (van Belle)		11.0	3.0	Jacob	1		Belle	Bellesteyn (Wassenaer)		0	1483.0	0	Persoonsgegevens: ook als Belle, Jacob Bossaert van	0
3181	2327	Teilingen	van	1.0	1.0	Pieter	0					0		0		0
3182	452	Cornelisz.		1.0	1.0	Egbert	0					0		0		0
3183	2442	Rengersz.		8.0	1.0	Mathijs	1					0	1338.0	0		0
3184	2420	Gaergoet		1.0	3.0	Christoffel	0					0		0		0
3185	2697	Zonneberg	van	1.0	1.0	Willem	0					0		0		0
3186	2315	Culemborg	van	12.0	1.0	Jasper Gerritsz.	1		Culemborg	Hoogstraten		0	1504.0	0	Kamerling van aartshertog Maximiliaan.	0
3187	3657	Herweier		1.0	1.0	Gillis Jacobsz.	0				1545	0		0	alleen geboortejaar bekend	0
3188	2317	Dionijsz.		1.0	1.0	Dionijs	0					0		0		0
3189	5685	Hoekeslot	van	1.0	1.0	Joost	0					0		0		0
3190	2319	Domburg	van	11.0	1.0	Wouter	1		Zoutelande			0		0	Overig: baljuw van de heer van Veere (1484)	0
3191	1725	Engel	in de	1.0	1.0	Jan Dirksz.	0					0		0		0
3192	2332	Pietersz.		1.0	1.0	Jan	0					0		0		0
3193	2334	Oostburg	van	1.0		Pieter	0					0		0		0
3194	2812	Wissenkerke	van	1.0	1.0	Anthonis	0					0		0		0
3195	2339	Cleve en van der Mark	van	6.0		Adolf	1		Ravenstein			0	1492.0	0	"Adelstitel: ridder 1452.
Overig: ridder in de Orde van het Gulden Vlies 1456."	0
3196	2342	Lalaing	van	3.0	1.0	Karel	1		Montigny		1466	0	1525.0	0	Adelstitel: 1e graaf van Lalaing.	0
3197	4099	Stapel		1.0	1.0	Jan	0					0		0	wel/niet van het Hof? 't Hart spreekt over Jan Stapel, Delahaye over Jan van Stapels.	0
3198	1776	Reimerswaal	van	6.0	1.0	Klaas Adriaansz.	1		Lodijke			0	1503.0	0	Adelstitel: ridder 1470.	0
3199	2347	Naarden	van	1.0	1.0	Jan	0					0		0	Prevenier geeft als data van dagvaartvermelding 1477-1478.	0
3200	2733	Zilversmid		1.0	1.0	Jan Adriaansz.	0					0		0		0
3201	2433	Schoten	van	6.0	1.0	Gerrit	1					0	1513.0	1	Overig: heemraad van Rijnland v.a. 1509.	0
3202	2354	Papeveld	van	1.0	1.0	Jan	0					0		0		0
3203	2350	Noordwijk	van	6.0	1.0	Jan Jansz.	1		Noordwijk	Noordwijkerhout, Offem		0	1502.0	1	"Persoonsgegevens: zoon van Jan van Boekhorst.
Adelstitel: ridder 1486."	0
3204	1943	Culemborg	van	11.0	1.0	Jan II	1		Culemborg	de Lek, Werth, Acquoij	1380	1	1452.0	0	Persoonsgegevens: volgt zijn broer Hubrecht III op.	0
3205	1763	Poelgeest	van	8.0	1.0	Gerrit Gerritsz.	1		Poelgeest	Hoogmade		0		0	Adelstitel: schildknaap, ambachtsheer van Koudekerk.	0
3206	3694	Berghem	van	1.0	1.0	Pieter	0					0		0	Dezelfde als Pieter van Bergen, rentmeester van Tholen 1587?	0
3207	1767	Potter van der Loo		11.0	1.0	Dirk Gerritsz.	1		Ter Loo	Snijdelwijk		0	1481.0	0	"Bij meeste tollenaarschappen ontbreken jaartallen. Gehuwd met Alijd van der Weijde, treedt samen met haar op als pachter van de tol van Spaarndam.
Overig: kapitein. Onthoofd in 1481."	0
3208	2357	Reimerswaal	van	11.0	1.0	Jacob Jansz.	1		Bloemersdijk	Bertembroek		0		0		0
3209	2476	Molenaar	de	8.0	1.0	Willem	1					0		0		0
3210	2360	Reimerswaal	van	11.0	1.0	Willem Jansz.	1					0	1514.0	1		0
3211	5225	Pietersz.		1.0	1.0	Frans	0					0		0	zoon Ijsbrand neemt functie over in 1562.	0
3212	1827	Veere	van	11.0	1.0	heer	0					0		0		0
3213	2366	Schoonhoven	van	11.0	1.0	Adriaan	1		Nieuw-Strijen			0		0	Overig: hofmeester van de heer van Veere.	0
3214	1132	Pietersz.		1.0	3.0	Simon	0				1451	1	1500.0	1	Overig: barbier te Haarlem.	0
3215	2369	Stage	van der	1.0	1.0	Jan	0					0		0	Prevenier geeft als data van dagvaartvermelding 1477-1481.	0
3216	616	Strijen	van	6.0	1.0	Arend	1		Zevenbergen	Nieuwkoop, Noorden, Noordeloos, Slingeland, Terschelling, Heemskerk		0	1492.0	0	"Adelstitel: ridder 1458.
Als echanson aan hof van Filips de Goede vermeld in 1438, 1445 en 1449."	0
3217	3558	Valk		1.0	3.0	Jacob	0					0		0	Pensionaris van Goes, later van Middelburg.	0
3218	159	Veere	van der	1.0	3.0	Cornelis Jacobsz.	0					0		0		0
3219	2371	Waard	de	1.0	1.0	Klaas	0					0		0	Prevenier geeft als datum van dagvaartvermelding aug. 1488.	0
3220	3310	Willemsz.		1.0	1.0	IJsbrand	0				1458	1		0	"Mogelijk een lid van de het geslacht van Alkemade.
Er is verwarring rond de geboortedatum van deze persoon: in 1494 zou hij 36 jaar zijn (p. 18), in 1514 wordt zijn leeftijd op de ene plaats als 43 (p. 119) en de andere als 50 vermeld (p. 120)."	0
3221	2373	Gerritsz.		1.0	1.0	Willem	0					0		0		0
3222	1128	Berg	van den	1.0	1.0	Huge	0					0		0	Bij Erfgoed Leiden dubbel klikken op inventarisnr(s).	0
3223	2381	Baexen	van	1.0	1.0	Wouter	0					0		0		0
3224	3865			1.0	1.0	Hendrik	0					0		0	Zie ook: Hendrik Hugenz. van Biggekerke, baljuw van Middelburg 1317.	0
3225	2384	Boschuysen	van	1.0	1.0	Jacob	0					0		0		0
3226	4881	Dirksz.		1.0	1.0	Anthonis	0					0		0		0
3227	2382	Boekhorst	van de	1.0	1.0	Floris	0					0	1520.0	0		0
3228	2320	Dalem van Dongen	van	8.0	1.0	Jan	1		Zwaluwe			0		0	Adelstitel: schildknaap 1473.	0
3229	2888	Kort		1.0	1.0	Jan Jansz.	0					0		0		0
3230	3776	Muys van Holy		1.0	3.0	Willem	0					0		0		0
3231	2390	Steenre	van	1.0	1.0	Johan	0					0		0		0
3232	2393	Albrechtsz.		1.0	1.0	Jan	0					0		0		0
3233	2395	Gerritsz.		1.0	1.0	Jan	0					0		0	De administratie van de ontvangsten werd overgenomen door Klaas Dirksz. Korf. (Meilink, Staten 2129-2135).	0
3234	2529			1.0	1.0	Frank	0					0		0	Er is geen nadere aanduiding van de ligging van het ambtsgebied in Zeeland.	0
3235	3174	Rijswijk	van	1.0	1.0	Joost	0					0	1562.0	0	alleen overlijdingsjaar bekend.	0
3236	1820	Naaldwijk	van	6.0	1.0	Hendrik	1		Naaldwijk	Capelle, Groensvoord, Poelien, Overschie,  Vlaardingerambacht	1430	0	1496.0	0	Broer van Jan van Naaldwijk. Erfmaarschalk van Holland.	0
3237	4594	Arendsz.		1.0	1.0	Jacob Hendrik	0					0		0		0
3238	2402	Oem		1.0	1.0	Jan Dirksz.	0					0		0		0
3239	1826	Ruychrock van den Werve		6.0	1.0	Jan Jansz.	1		's-Heer Hendrikskinderen			0		0	Adelstitel: ridder 1468.	0
3240	2407	Schaert		1.0	1.0	Pieter	0					0		0	Prevenier geeft als datum van dagvaartvermelding 7-10 april 1495.	0
3241	4108	Borselen	van	1.0	1.0	Adriaan	0					0		0		0
3242	4663	Heemskerk	van	1.0	1.0	Joris	0					0		0		0
3243	2408	Vliet van Woerden	van	11.0	1.0	Jan	1		Hoenkoop	Vliet, Bergambacht, Ammers, 's-Heeraartsberg	1455	1	1532.0	0		0
3244	149	Wielen	van der	1.0	3.0	Adriaan	0				1483	1	1540.0	0	Overig: onderwijzer van latere Karel V tijdens diens minderjarigheid.	0
3245	1581	Arendsz.		1.0	1.0	Anthonis	0				1492	1	1561.0	1		0
3246	5351	Berg	van den	1.0	1.0	Steven	0					0		0		0
3247	2259	Vriese	de	6.0	1.0	Willem	1		Oostende			0		0	Adelstitel: ridder 1379.	0
3248	2258	Vriese	de	6.0	1.0	Willem	1		Oostende			0		0	Adelstitel: ridder 1342.	0
3249	11	Sinte Pieters	van	1.0	3.0	Pieter	0				1487	1	1550.0	0	"Persoonsgegevens: ook: de Sancto Petro.
Overig: Bewaarder van zegel en signet van Holland 1540-1550."	0
3250	442	Genensz.		1.0	1.0	Luud	0					0		0		0
3251	2253	Vliet	van den	6.0	1.0	Gerrit (sr)	1		Vliet	Hoenkoop		0	1405.0	1	Adelstitel: ridder 1398.	0
3252	2974	Germain		1.0	1.0	Colin	0					0	1567.0	1		0
3253	1095	Krusink		6.0	1.0	Cornelis	1		Benthuizen	Zoetermeer	1453	1	1519.0	1	"Zoon van Jacob Krusink.
Adelstitel: ridder in 1486.
Overig: hoogheemraad van Delfland en Rijnland."	0
3254	2421	Hugenz.		1.0	1.0	Gillis	0					0		0		0
3255	2423	Schengen	van	1.0	1.0	Jan	0					0		0		0
3256	4202	Ruysch		1.0	1.0	Pieter	0					0		0		0
3257	2425	Jacobsz.		1.0	1.0	Heiman	0					0		0		0
3258	2426	Hoen		1.0	3.0	Cornelis	0					0		0	"Prevenier geeft nog eenvermelding ter dagvaart 18-26 sept. 1512.
Beoogd landsadvocaat."	0
3259	2429	Klaasz.		1.0	1.0	Jan	0					0		0		0
3260	1723	Jansz.		1.0	1.0	Jacob	0					0		0	Volgens Cox mogelijk dezelfde als Jacob Jan Boudijnsz.z.	0
3261	2431	Oem van Wijngaarden		1.0	1.0	Godschalk Jansz.	0					0		0		0
3262	2368	Slingeland	van	1.0	1.0	Saris	0					0	1499.0	0	Van Gent: schout tot 05-04-1487.	0
3263	4642	Say		1.0	1.0	Filips	0					0		0	Overig: klerk van de houtvesterij.	0
3264	4473	Woerd	van der	1.0	1.0	Hendrik	0					0	1410.0	0		0
3265	2436	Vynne		1.0	1.0	Bernard Jansz.	0					0		0		0
3266	5298	Buren	van	1.0	1.0	Jan (of Joost)	0					0		0		0
3267	2362	Schagen	van	6.0	1.0	Jan Willemsz.	1		Burghorn		1450	0	1518.0	0	"Adelstitel: ridder 1465.
Zoon van Willem, bastaard van Holland, heer van Schagen."	0
3268	2412	Zwieten	van	1.0	1.0	Joost Dirksz.	0					0	1560.0	1		0
3269	3129	Does	van der	1.0	1.0	Adriaan	0					0		0	.	0
3270	2358	Reimerswaal	van	8.0	1.0	Jan Klaasz.	1		Lodijke	Nieuw-Strijen		0	1486.0	0	Adelstitel: knaap 1464.	0
3271	3719	Sterken		1.0	1.0	Jan Hugensz.	0					0		0		0
3272	4585	Blois	van	6.0	1.0	Lodewijk	1		Cabauw			0	1470.0	0	Steensel: ambt baljuw van Noordwijk wordt door zijn zoon Jan in 1463 overgenomen. Tevens bewaarder van hout en duinen van Petten 1460-1462.	0
3273	678	Jansz.		1.0	1.0	Doef	0					0		0	Overig: burgemeester van Alkmaar 1443-1444.	0
3274	2502	Lek	van der	6.0	1.0	Pieter	1					0		0		0
3275	2458	Klerk	de	8.0	1.0	Willem	1					0		0	Samen met Willem Jansz. werkten zij beurtelings als grafelijk houtvester van 1324-1327. Tevens rentmeester van de burggraaf van Leiden, heer Dirk IV van Wassenaar 1358.	0
3276	2474	Burg	van der	1.0	1.0	Simon Dirksz.	0					0		0		0
3277	2448	Kuser	de	1.0	1.0	Willem	0					0		0	Volgens Smit wordt functie van baljuw en rentmeester van Amstelland v.a. 1333 een gecombineerde functie, Willem bekleedde deze van oktober 1333 tot eind 1336.	0
3278	2454	Rodenrijs	van	1.0	1.0	Daniel	0					0		0		0
3279	2035	Hermansz.		1.0	1.0	Hendrik	0					0		0	Persoonsgegevens: oom van Floris en Willem van Boschuysen.	0
3280	2207	Sassenheim	van	8.0	1.0	Jan	1					0	1364.0	0		0
3281	2603	Molen	van der	1.0	1.0	Pieter Pietersz.	0					0	1520.0	1	Sandberg spreekt over Pieter van der Moeien.	0
3282	2459	Brawode	van	1.0		Willem	0					0		0		0
3283	2462	Burg	van der	1.0	3.0	Jan Dirksz.	0					0		0		0
3284	2456	Heukelum	van	6.0	3.0	Arnoud	1					0		0	Overig: grafelijk chirurgijn van Willem IV.	0
3285	2213	Zijl	van	1.0	1.0	Dirk	0					0		0		0
3286	1506			1.0	1.0	Floris	0					0		0		0
