	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
302	647	2	chef Frans Bureau	0	0	0
303	648	2	employé Frans Bureau	0	0	0
304	650	2	secretaris-generaal in Oost-Friesland	0	0	0
305	651	2	auditeur	0	0	0
306	652	2	inspecteur	0	0	0
307	653	2	bibliothecaris-generaal	0	0	0
308	655	2	superintendent Koninklijke Courant	0	0	0
309	657	2	adjunct chef divisie	0	0	0
310	658	2	commissaris-generaal in Oost-Friesland	0	0	0
311	659	2	chef generaal secretariaat	0	0	0
312	663	2	administrateur-generaal	0	0	0
313	665	2	chef divisie artillerie en genie	0	0	0
314	666	2	directeur van het Depot van Marine	0	0	0
315	667	2	directeur van het Depot der Koloniën	0	0	0
316	668	2	chef bureau rekesten	0	0	0
317	669	2	directeur des élèves à Paris et à Rome	0	0	0
318	675	2	chef divisie	0	0	0
319	676	2	kabinetsraad	0	0	0
320	679	2	president Cohier Verponding	0	0	0
321	680	2	chef generale comptabiliteit	0	0	0
322	681	2	opperboekhouder	0	0	0
323	682	2	permanente commissaris Verificateur	0	0	0
324	683	2	eerste Kabinetssecretaris	0	0	0
325	684	2	traducteur	0	0	0
326	685	2	grootmeester der Wapenen	0	0	0
327	686	2	chef secretariaat	0	0	0
328	687	2	adjunct secretaris	0	0	0
329	688	2	commissaris-Verificateur	0	0	0
330	689	2	eerste Boekhouder	0	0	0
331	690	2	archivist en chef expeditie	0	0	0
332	691	2	chef algemene comptabiliteit	0	0	0
333	692	2	kassier	0	0	0
334	693	2	commies-generaal van de Convooien en Licenten	0	0	0
335	694	2	translateur Frans en Latijn	0	0	0
336	695	2	klerk van de cijfers	0	0	0
337	696	2	adjunct klerk van de cijfers	0	0	0
338	697	2	onderklerk	0	0	0
339	698	2	generaalmeester van de Munt	0	0	0
340	699	2	commissaris van de uitheemse dépêches	0	0	0
341	700	2	gedeputeerde	0	0	0
342	701	2	visitateur-generaal	0	0	0
343	702	2	secretaris commissie Buitenlandse Zaken	0	0	0
344	703	2	commies commissie Buitenlandse Zaken	0	0	0
345	704	2	ordinaris klerk	0	0	0
