	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode	overlijdensdag	overlijdensmaand	Opmerkingen2
770	463	Harinxma thoe Slooten	 van	1	1	Pieter Edzart	1				1682.0	0	1708.0	0	"Overig: Raad van State 450 jaar. Repertorium ('s-Gravenhage 1983) 158 meent dat hij in 1707 gecommitteerde in dat college was. Een commissie van de Staten-Generaal is echter niet aangetroffen; de twee Friese zetels waren bovendien op dat moment door anderen bezet en Harinxma was reeds gedeputeerde ter Staten-Generaal.
Was grietman van Baarderadeel 1701-1708."	9	11.0	2.0	
771	467	Heemstra	van	1	1	Schelto	1				1665.0	0	1733.0	0		9	15.0	1.0	
772	469	Heemstra	van	1	1	Willem Hendrick	1				1696.0	0	1775.0	0	"Overig: Tresoar, stadhouderlijk archief, inv. nr. 361 geeft benoemingen door de stadhouder in de Admiraliteit van Friesland voor het kwartier der Steden in 1746 en 1748. Er werden echter geen commissiebrieven van de Staten-Generaal aangetroffen.
Was grietman van Kollumerland 1743-1775."	9	18.0	9.0	
773	473	Hemmema	van	1	1	Doecke	1				1603.0	0	1698.0	0		9	15.0	7.0	
774	474	Hemminga	van	1	1	Aysso	0				1632.0	0	1690.0	0		9			
775	477	Hiddesz.		1	1	Sybren	0					0		0		9			
776	483	Huber		1	4	Hermannus	0				1663.0	0	1730.0	0		9	21.0	11.0	
777	484	Aebinga van Humalda		1	1	Binnert Philip	0				1709.0	0	1791.0	0	Overig: was grietman van Hennaarderadeel 1767-1791.	9	14.0	10.0	
778	487	Idsinga	van	1	1	Matthijs	0				1629.0	0	1712.0	0		9	12.0	12.0	
779	488	Idsinga	van	1	4	Saecke Alefsz.	0				1628.0	1	1697.0	0		9	24.0	3.0	
780	530	Scheltinga	van	1	1	Livius	0				1632.0	0	1670.0	0	"Persoonsgegevens: De Haan Hettema geeft leeftijd bij overlijden 36 jaar, dus geboortejaar 1633 of 1634.
Overig: was grietman van Achtkarspelen 1653-1665."	9	16.0	6.0	
781	531	Jongestal	van	1	1	Gellius Wybrandus	0				1653.0	0	1688.0	0	Overig: was grietman van Hemelumer Oldeferd 1673-1688.	9	23.0	3.0	
782	536	Vierssen	van	1	1	Bruno	0				1647.0	0	1707.0	0		9	9.0	12.0	
783	537	Scheltinga	van	1	1	Martinus	0				1666.0	0	1742.0	0	"Persoonsgegevens: volgens De Haan Hettema overleden op 11 februari in plaats van 11 december.
Overig: bekleedde mogelijk ook de functie van gecommitteerde in de Admiraliteit in Friesland vanaf 1715, die bij zijn naamgenoot is geplaatst (1656-1726, elders in deze database).
Was grietman van Lemsterland 1689-1692 en van Schoterland 1692-1715."	9			
784	538	Haersolte tot Kranenburg	van	1	1	Johan	1		Kranenburg		1644.0	0	1716.0	0	Persoonsgegevens: Nieuw Nederlandsch Biografisch Woordenboek, Raad van State 450 jaar en Schutte (de laatste twee waarschijnlijk op basis van de eerste) geven 1647 als geboortejaar en oktober als maand van overlijden, in plaats van 1644 en januari van Mensema.	9	29.0	1.0	
785	539	Sminia	van	1	1	Frederick	0				1664.0	0	1751.0	0	Overig: was grietman van Utingeradeel 1689-1751.	9	28.0	6.0	
786	541	Lycklama à Nijeholt		1	1	Augustinus	0				1670.0	0	1744.0	0	Overig: was grietman van Opsterland 1693-1718.	9	22.0	6.0	
787	542	Glinstra	van	1	1	Assuerus	0				1673.0	0	1706.0	0	"Persoonsgegevens: Hoewel De Haan Hettema een jaar van overlijden 1748 geeft, wordt de voorkeur gegeven aan Baerdt, die 1706 geeft.
Overig: was grietman van Tietjerksteradeel 1697-1706."	9	3.0	3.0	
788	544	Doys		1	1	Johan Lodewijk	1				1669.0	0	1702.0	0		9	27.0	9.0	
789	545	Schuurman	van	1	4	Johan Abraham	0				1655.0	0	1731.0	0	Overig: werd benoemd tot ordinaris gedeputeerde ter Staten-Generaal voor het kwartier der Steden met ingang van 1 november 1731, maar overleed voor hij zitting kon nemen.	9	3.0	6.0	
790	547	Vegelin van Claerbergen		1	1	Philip Frederick	1				1685.0	0	1738.0	0	Overig: was grietman van Haskerland 1707-1738.	9	28.0	7.0	
791	551	Lycklama à Nijeholt		1	1	Livius Suffridus	0				1695.0	0	1773.0	0	"Persoonsgegevens: Baerdt geeft afwijkende overlijdensdatum 2 in plaats van 22 maart.
Overig: de lijst van Engels van gedeputeerden ter Staten-Generaal (zie institutionele toelichting bij dat college) geeft voor deze persoon (alleen op basis van Bruinsma) zitting als gedeputeerde ter Staten-Generaal van 1736-1740.  Als dat juist is zal het een extraordinaris deputatie hebben betroffen, omdat hij van 1737-1743 zitting had in Gedeputeerde Staten van Friesland.
Was grietman van Opsterland 1718 (volgens De Haan Hettema 1710)-1773."	9	22.0	3.0	
792	552	Waeyen	van der	1	4	Jacob	0				1666.0	0	1743.0	0	"Overig: Raad van State 450 jaar vermeldt een deputatie ter Staten-Generaal in 1713. Als het juist is, betrof het waarschijnlijk een extraordinaris deputatie, omdat Van der Waeyens overige functies in deze periode weinig ruimte laten, en omdat de vijf zetels van de Friese ordinaris deputatie al bezet waren door anderen. De lijst van Friese gedeputeerden ter Staten-Generaal van Engels (zie institutionele toelichting) geeft, op basis van Bruinsma, zitting in de jaren 1738-1740. Ook hier zal het een extraordinaris deputatie betreffen, omdat Van der Waeyen in deze periode zitting had in de Provinciale Rekenkamer van Friesland.
Was grietman van Hemelumer Oldeferd 1688-1743."	9	10.0	1.0	
793	553	Rengers		1	1	Albertus Aemilius Lamoraal	1				1690.0	0	1729.0	0	"Overig: Tresoar, stadhouderlijk archief, inv. 361 geeft een benoeming tot gecommitteerde in de Admiraliteit in Friesland voor het kwartier der Steden op 19 mei 1728. Een commissie van de Staten-Generaal werd echter niet aangetroffen.
Was grietman van Oostdongeradeel 1720-1729."	9	25.0	9.0	
794	555	Blau	de	1	4	Hieronimus	0				1681.0	0	1753.0	0		9	6.0	2.0	
795	557	Lycklama à Nijeholt	de Blocq	1	1	Daniel	0				1702.0	0	1781.0	0	Overig: was grietman van Oost-Stellingwerf 1731-1773 en van Opsterland 1773-1781.	9	9.0	10.0	
796	558	Bergsma		1	4	Arjen	0				1702.0	0	1780.0	0	Overig: Raad van State 450 jaar vermeldt nog zitting in Gedeputeerde Staten van Friesland, maar daarvoor is elders geen bewijs gevonden. Volgens het commissieboek van de Friese Stadhouder (Tresoar, stadhouderlijk archief, inv. nr. 361) zou Bergsma van 1 mei 1748 tot 31 oktober 1749 zitting hebben gehad in de Generaliteits-Rekenkamer, maar ook daarvoor is elders geen bewijs gevonden.	9	25.0	7.0	
797	560	Patras		1	4	Anthony	0				1718.0	0	1764.0	0		9	5.0	4.0	
798	562	Rengers	Juckema van Burmania	1	1	Sjuck Gerrolt	1	jonkheer	Farnsum	Ten Post	1713.0	0	1784.0	0	Overig: was grietman van Franekeradeel 1732-1747 en van Wymbritseradeel 1747-1773.	9	30.0	3.0	
799	565	Kempenaer	de	1	4	Daniël Livius	0				1713.0	0	1772.0	0	"Persoonsgegevens: volgens Raad van State 450 jaar overleden op 22 in plaats van 27 september.
Overig: was grietman van Lemsterland 1752-1772."	9	27.0	9.0	
800	571	Lycklama à Nijeholt		1	1	Augustinus	0				1742.0	0	1789.0	0	Overig: was grietman van Utingeradeel 1762-1789.	9	30.0	10.0	
801	573	Camper		1	3	Petrus	0				1722.0	0	1789.0	0		9	7.0	4.0	
802	576	Kuffeler	van	1	4	Joan	0				1755.0	0	1811.0	0		9	12.0	5.0	
803	577	Rengers		1	4	Pieter Ulbo	1	jonkheer			1756.0	0	1810.0	0	Persoonsgegevens: De Haan Hettema geeft afwijkend jaar van overlijden 1809.	9	22.0	5.0	
804	579	Schuylenburch	van	1	4	Willem	0		Bommenede		1717.0	0	1769.0	0		9	20.0	8.0	
805	580	Sirtema van Grovestins		1	4	Lodewijk Idzard Douwe	1	jonkheer			1749.0	0	1806.0	0		9	23.0	2.0	
806	585	Kuffeler	van	1	4	Reinier Hendrik	0				1753.0	0	1801.0	0		9			
807	588	Sandick	van	1	1	Johan Alexander	0				1727.0	0	1763.0	0		9			
808	590	Itsma	van	1	4	Wybrand	0				1693.0	0	1759.0	0	Overig: was vóór 1746 waarschijnlijk lid van de vroedschap van Dokkum.	9		6.0	
809	591	Ouwens		1	3	Willem	0				1717.0	0	1779.0	0		9			
810	593	Sirtema van Grovestins		1	1	Jan	1	jonkheer			1717.0	0	1795.0	0		9	21.0	7.0	
811	594	Wendt	de	1	4	Eco	0				1725.0	0	1809.0	0		9			
812	599	Schultens		1	4	Barold	0				1724.0	0	1791.0	0	Persoonsgegevens: de identificatie van de Barold Schultens in Wapenheraut met de gecommitteerde in de Generaliteits-Rekenkamer is niet geheel zeker.	9	28.0	12.0	
813	600	Rengers	Aylva	1	1	Ulbo	1				1726.0	0	1787.0	0	Overig: was grietman van Gaasterland 1756-1785.	9	14.0	5.0	
814	615	Knijff	Hiddema van	1	1	Horatius	0				1703.0	0	1770.0	0	Overig: was grietman van Ferwerderadeel 1729-1770.	9	31.0	3.0	
815	621	Lycklama à Nijeholt		1	1	Augustinus	0				1603.0	1	1670.0	0	Overig: was grietman van Oost-Stellingwerf 1647-1661.	9	1.0	8.0	
816	624	Lycklama à Nijeholt		1	4	Bartholt	0				1672.0	1	1731.0	0	Overig: was grietman van Oost-Stellingwerf 1698-1731.	9	18.0	3.0	
817	631	Lycklama à Nijeholt		1	1	Regnerus	0				1723.0	1	1757.0	0	"Persoonsgegevens: De Haan Hettema geeft overlijden 19 of 20 maart 1756, Baerdt 1757. Het laatstgenoemde jaar moet juist zijn, gezien de sessiename van Lycklama in Gedeputeerde Staten van Friesland op 15 mei 1756.
Overig: was grietman van Lemsterland 1741-1752 en van Utingeradeel 1752-1757."	9	19.0	3.0	
818	632	Lycklama à Nijeholt		1	1	Suffridus	0				1600.0	1	1645.0	0	Overig: was grietman van Oost-Stellingwerf 1639-1645.	9	12.0	4.0	
819	641	Nijsten	van	1	1	Barthold	0				1628.0	1	1696.0	0	Overig: was grietman van Rauwerderhem 1670-1696.	9	12.0	3.0	
820	642	Obbes		1	1	Obbe	0				1562.0	1	1632.0	0	Overig: was grietman van Gaasterland 1604-1632.	9	8.0	4.0	
821	651	Osinga	van	1	1	Syds	1					0		0	"Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 284 en II, 194, maar zonder leefjaren.
Overig: was grietman van Doniawerstal 1618-1652."	9			
822	678	Sminia	van	1	1	Hessel	0				1588.0	1	1670.0	0		9	1.0	12.0	
823	684	Sixma	van	1	1	Tjallingh	1				1680.0	1	1714.0	0	"Persoonsgegevens: Baerdt geeft afwijkende overlijdensdatum 15 in plaats van 14 oktober, en zegt dat hij dan 32 jaar oud is, waarmee het geboortejaar op 1681 of 1682 gesteld zou moeten worden.
Overig: was grietman van Rauwerderhem 1710-1714."	9	14.0	10.0	
824	688	Vegelin van Claerbergen		1	1	Assuërus	1				1687.0	0	1771.0	0	Overig: was grietman van Haskerland 1739-1749.	9	13.0	3.0	
825	689	Scheltinga	Coehoorn van	1	1	Menno	0				1701.0	0	1777.0	0	"Overig: de lijst van gedeputeerden ter Staten-Generaal voor Friesland door Engels (zie institutionele toelichting bij dat college) geeft in 1743 de benoeming van Coehoorn van Scheltinga voor Zevenwolden. De lijst geeft voor hetzelfde jaar de benoeming van Johan Vegelin van Claerbergen (1690-1773, elders in deze database). De zitting van twee ordinaris-gedeputeerden in deze periode voor Zevenwolden is niet mogelijk (de vijfde ordinaris plaats voor Friesland werd op dat moment bezet door het kwartier der Steden); omdat Vegelin van Claerbergen, in tegenstelling tot Coehoorn, in de genoemde lijst ook in 1744 en later als gedeputeerde wordt opgevoerd, én omdat Coehoorn van 1743-1745 in de Admiraliteit te Amsterdam was gecommitteerd, is aangenomen dat Coehoorn het ambt op Vegelin van Claerbergen heeft getransporteerd. 
Was grietman van Schoterland 1715-1777."	9	28.0	4.0	
826	691	Scheltinga	de Blocq van	1	1	Daniel	0				1704.0	0	1781.0	0		9	8.0	10.0	
827	692	Visser	Canter	1	4	Adrianus	0				1707.0	0	1782.0	0	Overig: was grietman van Dantumadeel 1753-1782.	9	19.0	7.0	
828	694	Haersma	van	1	1	Cornelis Martinus	0				1729.0	0	1795.0	0	Overig: was volgens Vries eveneens secretaris van de Provinciale Rekenkamer van Friesland. Blijkens De Jong was dit echter Cornelis van Haersma, benoemd in 1744. Gezien het geboortejaar van Cornelis Martinus kan dit nauwelijks dezelfde persoon zijn.	9			
829	703	Sloterdijck	van	1	4	Willem Augustijn	0				1714.0	0	1763.0	0	Overig: had volgens Nederland's Patriciaat zitting in de Provinciale Rekenkamer van Friesland (geen zittingstermijn vermeld). Dit vindt echter geen bevestiging in het voor deze periode beschikbare (niet lacuneuze) bronnenmateriaal (zie de institutionele toelichting van het college). Vermoedelijk heeft verwarring plaatsgevonden met de zitting in de Generaliteits-Rekenkamer.	9	14.0	2.0	
830	707	Sminia	Baerdt van	1	1	Hobbe	0				1730.0	0	1813.0	0	Overig: was grietman van Engwirden 1757-1772 en van Tietjerksteradeel 1772-1795.	9	25.0	3.0	
831	711	Burmania	van	1	1	Sjuck	1				1597.0	0	1650.0	0	Overig: was grietman van Wymbritseradeel 1626-1647.	9	20.0	6.0	
832	718	Gerroltsma		1	1	Idsert	0				1631.0	1	1676.0	0		9	26.0	10.0	
833	719	Burmania		1	1	Bocke	1				1637.0	0	1702.0	0		9	8.0	7.0	
