	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
397	593	0	meester van de herberg	0	0	0
398	594	0	azing	0	0	0
399	595	0	onderschout van Alkmaar	0	0	0
400	596	0	substituut-baljuw van Zuidholland	0	0	0
401	597	0	baljuw van Leiden	0	0	0
402	598	0	onderschout van Leiden	0	0	0
403	599	0	onderschout van Dordrecht	0	0	0
404	600	0	onderschout van Gouda	0	0	0
405	601	0	onderschout van Hoorn	0	0	0
406	602	0	substituut-kastelein van Gouda	0	0	0
407	603	0	substituut-kastelein van Schoonhoven	0	0	0
408	604	0	substituut-rentmeester van Bewesterschelde	0	0	0
409	605	0	onderschout van Monster-ambacht	0	0	0
410	606	0	raadspensionaris	0	0	0
411	607	0	schout van Voorhout	0	0	0
412	608	0	drossaard van Jaarsveld	0	0	0
413	609	0	baljuw van Oostzanen	0	0	0
414	610	0		0	0	0
415	611	0	baljuw van Duiveland	0	0	0
416	612	0	baljuw van Naaldwijk	0	0	0
417	613	0	schout van Heusden	0	0	0
418	614	0	baljuw van Wassenaar	0	0	0
419	615	0	rentmeester van Duiveland	0	0	0
420	616	0	rentmeester van St.-Annaland	0	0	0
421	617	0	opperdijkgraaf van Zierikzee	0	0	0
422	618	0	dijkgraaf van het nieuwe land van Markenburg	0	0	0
423	619	0	schout van Geervliet	0	0	0
424	620	0	baljuw van Weede	0	0	0
425	621	0	tresorier van Holland en Zeeland	0	0	0
426	622	0	rentmeester van Poortugaal	0	0	0
427	623	0	dijkgraaf van Poortambacht	0	0	0
428	624	0	gouverneur van het Noorderkwartier	0	0	0
429	625	0	schout van Zevenhuizen	0	0	0
430	626	0	schout van Meerkerk	0	0	0
431	627	0	kastelein van Liesveld	0	0	0
432	628	0	dijkgraaf van Dubbeldam	0	0	0
433	629	0	schout van Hazerswoude	0	0	0
434	630	0	schout van Stompwijk	0	0	0
435	631	0	stadhouder van de drossaard	0	0	0
436	632	0	dijkgraaf van het Land van Arkel	0	0	0
437	633	0	baljuw van Sluis	0	0	0
438	634	0	baljuw van Monster	0	0	0
439	635	0	schout van Naaldwijk	0	0	0
440	636	0	schout van Alphen	0	0	0
441	637	0	schout van Oudshoorn	0	0	0
442	638	0	schout van Alkemade	0	0	0
443	639	0	schout van Voorschoten	0	0	0
444	640	0	drossaard van Purmerend	0	0	0
445	641	0	schout van Woudrichem	0	0	0
446	642	0	schout van Oudheusden	0	0	0
447	643	0	schout van Goes	0	0	0
448	644	0	rentmeester van Goes	0	0	0
449	645	0	baljuw van Hoogwouderambacht	0	0	0
450	646	0	baljuw van Drechterland	0	0	0
451	647	0	rentmeester-generaal van Zuidholland	0	0	0
452	648	0	waardijn van grafelijke munt van Holland	0	0	0
453	649	0	substituut-schout	0	0	0
454	650	0	baljuw van Hazerswoude	0	0	0
455	651	0	baljuw van Abbenbroek	0	0	0
456	652	0	baljuw van Tholen en Schakerloo	0	0	0
457	653	0	dijkgraaf van Tholen en Schakerloo	0	0	0
458	654	0	rentmeester van Tholen en Schakerloo	0	0	0
459	655	0	dijkgraaf van de Vijf Ambachten op Walcheren	0	0	0
460	656	0	rentmeester van Souburg	0	0	0
461	657	0	rentmeester van Zuidbeveland	0	0	0
462	426	0	schout van Schellinkhout	0	0	0
463	427	0	schout van Stolwijk	0	0	0
464	428	0	baljuw van Kortgene	0	0	0
465	429	0	kastelein van Kortgene	0	0	0
466	430	0	baljuw van St. Maartensdijk	0	0	0
467	431	0	schout van Enkhuizen	0	0	0
468	432	0	rentmeester van St.-Maartensdijk	0	0	0
469	433	0	baljuw van Loosdrecht	0	0	0
470	434	0	dijkgraaf van Lopikerwaard	0	0	0
471	435	0	rentmeester van Oostvoorne	0	0	0
472	436	0	kapitein van Weesp	0	0	0
473	437	0	baljuw van Spanbroek	0	0	0
474	438	0	baljuw van Obdam	0	0	0
475	439	0	baljuw van Hensbroek	0	0	0
476	440	0	baljuw van Opmeer	0	0	0
477	441	0	tollenaar van Alkmaar	0	0	0
478	442	0	schout van Gorinchem	0	0	0
479	443	0	schout van Monnickendam	0	0	0
480	444	0	baljuw van Voorne	0	0	0
481	445	0	baljuw van Reimerswaal	0	0	0
482	446	0	rentmeester van Zeeland	0	0	0
483	447	0	rentmeester van 's-Gravenzande	0	0	0
484	448	0	schout van Woerden	0	0	0
485	449	0	baljuw van Grijsoord	0	0	0
486	450	0	schout van Rijswijk	0	0	0
487	451	0	kapitein van Oudewater	0	0	0
