	alias	IDPersoon
303	Sandberg van 't Laar	4966
304	Van der Wyck van Archem	4967
305	Teding van Berkhout tot Hoenlo	4973
306	Van Ittersum tot den Oosterhof	5000
307	Van Pallandt van Eerde	5001
308	Van Raesfelt van Elsen	5002
309	Sloet van Tweenyenhuizen en Bredenhorst	5004
310	Sloet van Westerholt	5006
311	Van Haersolte tot den Doorn	5007
312	Coninck Bentinck	5009
313	Van Coeverden van Kampferbeek	5010
314	Van Voërst tot Hagevoorde en Bergentheim	5014
315	De Vos van Steenwijk van den Oldenhof	5015
316	Mulert tot de Leemcule	5017
317	Van Fridagh tot Rutenberg	5019
318	Van Rechteren Limpurg van den Schulenborg	5021
319	Bentinck tot Nijenhuis	5022
320	Van Pallandt tot Eerde	5023
321	De Vos van Steenwijk van Windesheim	5024
322	Sandberg van Essenburg	5025
323	Van Ittersum tot den Oosterhof	5026
324	Van Knobelsdorff tot de Gelder, Krijtenberg en Scherpenzeel	5027
325	Van Dedem tot de Rollecate	5029
326	De Vos van Steenwijk van Abbenbroek	5035
327	Sandberg van 't Laar	5078
328	Van Naamen van Eemnes	5083
329	Von Bönninghausen van Herinkhave	5090
330	Bentinck van Schoonheten	5128
331	Van Coeverden van Wegdam	5138
332	Van Ittersum van Plattenburg	5000
333	Bentinck van Buckhorst	5009
334	Van Lanschot van Berlicum	5140
335	Smits van Oyen	5150
336	De Roy van Zuydewijn-Capelle	5161
337	Verschoor van Sleeuwijk	5165
338	Van Panhuys van Haeren	5181
339	De Jongh van Son van Raamsdonk	5186
340	Van Hugenpoth tot den Beerenclaauw	5187
341	Billehé de Valensart van Leuth	5188
342	De Geloes van Elsloo	5189
343	Van Kretschmar van Veen	5190
344	Van Reede van Ginkel	5192
345	Speelman van Wulverhorst	5193
346	Martini van Geffen	5196
347	Wesselman van Helmond	5223
348	Speelman van Heeswijk en Dinther	5249
349	Verheijen van Estvelt	5265
350	Van Dam van Hekendorp en Polanen	5285
351	Van Reede van Doeveren	5192
352	Thibaut van Aagtekerke	6089
353	Van der Mandere van Ouwerkerk	6114
354	Paspoort van Grijpskerke	6119
355	Lambrechtsen van Ritthem	6145
356	Moens van Blois	6151
357	Sprenger van Duinbeek	6166
358	Verschoor van Nisse	6173
359	Lenshoek van Zwake	6178
360	Steengracht van Moyland	6199
361	De Clercq van Stavenisse	6222
362	Mulock Houwer van Noordgouwe	6223
363	Van Barnevelt van Noordeloos	6283
364	Barnaart van Bergen	6289
365	Griffioen van Waarder	6293
366	Van Bredehoff de Vicq van Oosthuizen	6300
367	Jantzon van Erffrenten van Capelle en Hoogeveen	6301
368	Kwak van Zwartewaal	6306
369	Van Tuyll van Serooskerken van Vleuten	6309
370	Weldijk van Limmen	6310
371	Vlielander van Rockanje	6311
372	Van Boetzelaer van Kijfhoek	6314
373	Diemont van Langerak	6316
374	Gevers van Endegeest en Kethel en Spaland	6321
375	Van Hees van Berkel	6324
376	De Raadt van Hendrik-Ido-Ambacht	6326
377	De Dieu Fontein Verschuir van Heiloo	6328
378	Sandenberg Matthiessen van Petten en Nolmerban	6329
379	Van Weel van Sommelsdijk	6331
380	Repelaer van Spijkenisse	6333
381	Vlielander van Nieuwenhoorn	6334
382	Van Leyden Gael van Vlaardingen	6335
383	Boreel van Hogelanden	6342
384	Van Pallandt van Eerde	6345
