	IDCollege	Periode	College	VolgnummerBasiscollege	Basis	Id
226	320	2	Landdrost en Assessoren van Drenthe (1807-1810)	0	0	0
227	322	2	Provisionele Representanten van het Volk van Bataafs Brabant	0	0	0
228	323	2	Provisionele Representanten van het Volk van Zeeland	0	0	0
229	324	2	Provisionele Representanten van het Volk van Holland	0	0	0
230	325	2	Provisionele Representanten van het Volk van Overijssel	0	0	0
231	327	2	Departementaal Bestuur van de Landschap Drenthe (1805-1807)	0	0	0
232	328	2	Landdrost en Assessoren van Utrecht (1807-1810)	0	0	0
233	329	2	Landdrost en Assessoren van Zeeland (1807-1809)	0	0	0
234	330	2	Departementaal Bestuur van Texel	0	0	0
235	332	2	Departementaal Bestuur van Groningen (1802-1805)	0	0	0
236	333	2	Hof van Utrecht (1795-1799)	0	0	0
237	341	2	Departementaal Gerechtshof van Brabant (1802-1811)	0	0	0
238	342	2	Departementaal Gerechtshof van Holland (1803-1811)	0	0	0
239	343	2	Departementaal Gerechtshof van Zeeland (1803-1811)	0	0	0
240	344	2	Departementaal Gerechtshof van Utrecht (1802-1811)	0	0	0
241	345	2	Representanten van het volk van Stad en Lande	0	0	0
242	346	2	Provisionele Representanten van het Volk van Friesland	0	0	0
243	347	2	Provisionele Representanten van het Volk van Drenthe	0	0	0
244	348	2	Representanten van het volk van Drenthe	0	0	0
245	352	2	Provinciaal College van Politie, Financie en Algemeen Welzijn van Gelderland	0	0	0
246	353	2	Staten (Provisionele Representanten) van het Kwartier van de Veluwe	0	0	0
247	354	2	Staten (Provisionele Representanten) van het Kwartier van Nijmegen	0	0	0
248	355	2	Staten (Provisionele Representanten) van het Kwartier van Zutphen	0	0	0
249	359	2	Raad van Financiën in het Departement Gelderland	0	0	0
250	360	2	Departementaal Bestuur van Gelderland (1805-1807)	0	0	0
251	361	2	Departementaal Bestuur van Brabant (1805-1807)	0	0	0
252	362	2	Departementaal Bestuur van Friesland (1802-1805)	0	0	0
253	363	2	Departementaal Bestuur van Groningen (1805-1807)	0	0	0
254	364	2	Departementaal Bestuur van Holland (1805-1807)	0	0	0
255	365	2	Departementaal Bestuur van Overijssel (1805-1807)	0	0	0
256	366	2	Departementaal Bestuur van Utrecht (1805-1807)	0	0	0
257	367	2	Departementaal Bestuur van Zeeland (1805-1807)	0	0	0
258	381	2	Comité van Algemeen Welzijn, Waakzaamheid en Veiligheid van Zeeland	0	0	0
259	382	2	Representanten van het volk van Bataafs Brabant	0	0	0
260	383	2	Intermediair Administratief Bestuur van Gelderland	0	0	0
261	390	2	Intermediair Administratief Bestuur van Holland	0	0	0
262	392	2	Financiële Commissie van Holland (1799-1802)	0	0	0
263	393	2	Gedeputeerd Bestuur van Holland (1802-1805)	0	0	0
264	394	2	Raad van Financiën in het Departement Holland	0	0	0
265	395	2	Intermediair Administratief Bestuur van Bataafs Brabant	0	0	0
266	397	2	Raad van Financiën in het Departement Bataafs Brabant	0	0	0
267	398	2	Raad van Financiën in de Landschap Drenthe	0	0	0
268	400	2	Constitutiecommissie van 1796	0	0	0
269	404	2	Constitutiecommissie van 1797	0	0	0
270	405	2	Constitutiecommissie van 1798	0	0	0
271	406	2	Departement van Buitenlandse Zaken (Provisioneel Uitvoerend Bewind)	0	0	0
272	409	2	Intermediair Administratief Bestuur van Zeeland	0	0	0
273	410	2	Intermediair Administratief Bestuur van Friesland	0	0	0
274	411	2	Intermediair Administratief Bestuur van Utrecht	0	0	0
275	412	2	Intermediair Administratief Bestuur van Overijssel	0	0	0
276	413	2	Algemene Secretarie van het Uitvoerend Bewind	0	0	0
277	414	2	Intermediair Administratief Bestuur van Groningen	0	0	0
278	415	2	Nationale Kanselarij (Secretarie Eerste Kamer Vertegenwoordigend Lichaam)	0	0	0
279	418	2	Hoge Zeekrijgsraad (vanaf oktober 1799)	0	0	0
280	420	2	Hoge Militaire Vierschaar (1)	0	0	0
281	422	2	Raad van de Aziatische Bezittingen en Etablissementen (1800-1804)	0	0	0
282	423	2	Raad van de Aziatische Bezittingen en Etablissementen (1804-1806)	0	0	0
283	424	2	Raad van Financiën van Stad en Lande (1802-1805)	0	0	0
284	427	2	Kanselarij van het Wetgevend Lichaam	0	0	0
285	429	2	Landsadvocaten ter advies van het Staatsbewind	0	0	0
286	431	2	Raad van Financiën in het Departement Zeeland	0	0	0
287	432	2	Raad van Financiën in het Departement Utrecht	0	0	0
288	433	2	Raad van Financiën in het Departement Friesland	0	0	0
289	434	2	Raad van Financiën in het Departement Overijssel	0	0	0
290	435	2	Raad van Financiën in het Departement Groningen	0	0	0
291	436	2	Gouvernement-Generaal van Oost-Friesland	0	0	0
292	437	2	Koninklijke Courant	0	0	0
293	438	2	Landdrost en Kwartierdrosten van Zeeland (1809-1810)	0	0	0
294	439	2	Representanten van het Volk van Utrecht	0	0	0
295	441	2	Generaliteitsloterij	0	0	0
296	443	2	Intermediair Administratief Bestuur van het voormalige gewest Drenthe	0	0	0
297	444	2	College van Administratie van de Domeinen van Nassau	0	0	0
298	446	2	Provinciaal Bestuur van Friesland (1796-1797)	0	0	0
299	448	2	Préfecture Maritime de la Hollande	0	0	0
300	449	2	Commissarissen van het Uitvoerend Bewind bij de Departementale Besturen	0	0	0
301	450	2	Raad der Ministers van de Koning (Ministerraad)	0	0	0
302	451	2	Provinciaal Bestuur van Holland (maart 1796 - januari 1798)	0	0	0
303	452	2	Provinciaal Comité van Holland (april 1796 - februari 1798)	0	0	0
304	453	2	Intendance des Domaines de la Couronne en Hollande	0	0	0
305	454	2	Maître des Requêtes chargé du Service des Ponts et Chaussées dans les Départements de la Hollande	0	0	0
306	455	2	Commissarissen van de Generale Beleenbank	0	0	0
307	456	2	Intermediair Bestuur over de Zaken der Koloniën en Bezittingen in Amerika en op de Kust van Guinea	0	0	0
308	457	2	Commissarissen van het Uitvoerend Bewind bij de Departementale Gerechtshoven	0	0	0
309	458	2	Nationale Rekenkamer (2)	0	0	0
310	459	2	Nationale Rekenkamer (3)	0	0	0
311	460	2	Provinciaal Bestuur van Utrecht (oktober 1796 - februari 1798)	0	0	0
312	196	2	Generaliteitsrekenkamer (1608-1799)	0	0	215
313	292	2	Hof van Holland, Zeeland en West-Friesland (1428-1802)	0	0	0
314	102	2	Staten-Generaal der Verenigde Nederlandse Provinciën (1588-1796)	0	0	112
