	IDRegent	IDBron	deel en paginanummer
210	56	125	40 (1986) 207.
211	57	15	42 (1956) 27.
212	57	26	4, 338.
213	58	4	46 (1953) 3.
214	58	125	25 (1971) 168.
215	59	125	40 (1986) 208.
216	60	122	
217	60	134	56 (1938) 498.
218	60	136	1 (1897) 3, 4 (1900) 184.
219	60	149	8 (1999) 270.
220	61	136	22 (1918) 300.
221	62	135	15 (1902) 267.
222	62	148	Collectie Van der Lely, inv. nr. 7, f.129v.
223	63	4	87 (1998) 140.
224	63	134	33 (1915) 233.
225	63	149	7 (1998) 185.
226	64	5	561.
227	64	24	exemplaar CBG.
228	66	11	372.
229	67	5	564.
230	67	136	15 (1911) 10.
231	67	149	9 (2000) 99.
232	68	10	340.
233	68	19	225.
234	68	191	153.
235	69	5	564.
236	69	26	4, 158.
237	70	134	33 (1915) 311.
238	70	149	6 (1997) 284.
239	71	5	563.
240	71	11	345.
241	72	24	
242	72	124	
243	72	149	9 (2000) 166.
244	73	24	
245	73	115	
246	74	24	exemplaar CBG.
247	74	141	44 (1989) 197.
248	75	5	563.
249	75	15	22 (1935-1936) 179.
250	75	148	Collectie Van der Lely, inv. nr. 7, f. 134.
251	76	132	183.
252	76	135	15 (1902) 271.
253	76	148	Collectie Van der Lely, inv. nr. 7, f.132.
254	77	19	235.
255	77	116	28 (1996) 20.
256	78	10	330.
257	78	19	225.
258	78	191	154.
259	79	10	323.
260	79	19	225.
261	80	10	350.
262	80	19	225.
263	81	10	361.
264	81	19	225.
265	81	191	151.
266	82	11	373.
267	83	11	336.
268	84	15	5 (1914) 290.
269	84	135	15 (1902) 267, 271-272.
270	85	4	81 (1990-1991) 264.
271	85	148	Collectie Van der Lely, inv. nr. 7, f. 135.
272	86	4	79 (1988) 484.
273	86	134	33 (1915) 280.
274	86	149	8 (1999) 7.
275	87	134	34 (1916) 23.
276	87	149	6 (1997) 283.
277	88	134	33 (1915) 284.
278	88	149	8 (1999) 11.
279	89	120	91.
280	89	123	
281	89	134	33 (1915) 228.
282	89	149	7 (1998) 24.
283	90	134	33 (1915) 341.
284	90	149	7 (1998) 179.
285	91	19	222.
286	91	117	20.
287	92	19	233.
288	93	19	231.
289	93	147	(1995) 101.
290	94	4	82 (1992) 514.
291	94	19	222.
292	94	81	46.
293	95	19	229.
294	95	141	12 (1957) 150.
295	96	19	235.
296	96	116	28 (1996) 20.
297	97	15	75 (1991) 262.
298	97	19	229.
299	97	141	12 (1957) 149.
300	98	19	231.
301	98	147	(1995) 101.
302	99	19	233.
303	100	29	332.
304	101	5	563.
305	101	29	330.
306	101	125	8 (1954) 37.
307	102	16	1, 1148.
308	102	29	342.
309	102	134	46 (1928) 312.
310	103	29	349.
311	104	29	351.
312	105	16	2, 209.
313	105	29	354.
314	106	15	19 (1930) 73.
315	106	29	358.
316	107	15	16 (1926) 130.
317	107	29	363.
318	108	19	222.
319	108	134	59 (1941) 182.
320	108	178	10 (1974) 116.
321	109	19	222.
322	109	149	4 (1995) 125.
323	110	26	5, 281.
324	111	26	4, 142.
325	112	15	49 (1963) 260.
326	112	141	44 (1989) 197.
327	113	5	564.
328	113	149	8 (1999) 187.
329	114	136	1 (1897) 4.
330	114	149	9 (2000) 102.
331	115	26	5, 315.
332	116	135	9 (1892) 265.
333	117	19	232.
334	117	147	(1995) 102.
335	118	19	232.
336	118	147	(1995) 102.
337	119	19	235.
338	119	116	28 (1996) 20.
339	120	19	236.
340	120	116	28 (1996) 21.
341	121	19	235.
342	121	116	28 (1996) 20.
343	122	19	235.
344	122	116	28 (1996) 21.
345	123	15	75 (1991) 262.
346	123	19	234.
347	124	19	234.
348	125	15	65 (1980/1981) 250.
349	125	19	234.
350	125	134	94 (1977) 338.
351	126	19	230.
352	126	141	12 (1957) 155.
353	128	19	230.
354	128	134	45 (1927) 258.
355	128	141	12 (1957) 150.
356	129	10	359.
357	129	19	228.
358	129	191	136.
359	130	19	227.
360	130	114	
361	130	191	135.
362	131	6	2, 783.
363	131	19	222.
364	131	81	181.
365	131	117	22, 23.
366	132	15	41 (1955) 108.
367	132	19	222.
368	132	138	3 (1874) 333.
369	133	19	223.
370	133	117	23.
371	134	19	227.
372	134	191	135.
373	135	16	8, 817.
374	135	134	46 (1928) 261.
375	136	16	8, 816.
376	136	134	46 (1928) 263.
377	137	16	8, 816.
378	137	134	46 (1928) 265.
379	138	4	80 (1989) 417.
380	138	16	4, 286.
381	138	33	1, 214.
382	139	16	1, 792.
383	140	16	8, 672.
384	140	125	5 (1951) 143.
385	141	16	3, 1450.
386	142	16	3, 1454.
387	143	16	3, 1449.
388	144	16	3, 1470.
389	145	16	3, 1455.
390	146	4	85 (1995) 217.
391	146	16	7, 596.
392	147	16	3, 1458.
393	148	33	1, 213.
394	149	16	4, 289.
395	149	33	1, 211.
396	150	16	4, 174.
397	150	33	1, 211.
398	151	16	5, 897.
399	152	16	9, 911.
400	153	16	4, 347.
401	153	33	1, 211.
402	153	36	1007.
403	154	16	5, 60.
404	154	36	1007.
405	155	16	1, 265.
406	156	4	46 (1953) 255.
407	156	16	2, 1536.
408	156	127	115.
409	157	4	46 (1953) 238.
410	157	16	2, 1525.
411	158	16	2, 1540.
412	158	127	121.
413	159	4	80 (1989) 46.
414	159	8	213.
415	159	16	8, 150.
416	159	113	260.
417	160	16	8, 153.
418	160	113	238.
419	161	16	4, 262.
420	162	16	5, 523.
421	162	127	59.
422	163	16	6, 441.
423	164	16	6, 439.
424	165	16	1, 652.
425	165	36	959.
426	165	134	75 (1958) 441.
427	165	145	57 (1908) tussen 603, 604.
428	166	35	13.
429	167	16	3, 106.
430	167	134	62 (1944) 131.
431	168	16	3, 108.
432	168	36	965.
433	168	133	11.
434	169	16	3, 113.
435	169	36	961.
436	169	134	62 (1944) 83.
437	170	16	3, 110.
438	170	36	976.
439	171	120	91.
440	171	134	33 (1915) 148.
441	171	149	6 (1997) 285.
442	172	120	91.
443	172	123	
444	172	134	33 (1915) 150.
445	172	149	7 (1998) 182.
446	173	120	91.
447	173	134	33 (1915) 154.
448	173	149	6 (1997) 283.
449	174	38	1 (1900) 141.
450	174	120	87.
451	174	134	33 (1915) 151.
452	174	149	7 (1998) 221.
453	174	176	
454	175	4	80 (1989) 44.
455	175	113	183.
456	176	120	88.
457	176	134	32 (1914) 365.
458	176	149	7 (1998) 25.
459	176	176	
460	177	120	89.
461	177	123	
462	177	134	32 (1914) 368.
463	177	149	7 (1998) 129.
464	177	176	
465	178	120	87.
466	178	132	144.
467	178	134	32 (1914) 290.
468	178	149	7 (1998) 188.
469	178	176	
470	179	120	90.
471	179	123	
472	179	134	33 (1915) 77.
473	179	149	7 (1998) 130.
474	179	176	
475	180	43	365.
476	180	120	90.
477	180	123	
478	180	134	33 (1915) 75.
479	180	149	7 (1998) 123.
480	180	176	
481	181	123	
482	181	134	33 (1915) 112.
483	181	149	7 (1998) 227.
484	181	176	
485	182	120	91.
486	182	134	33 (1915) 152.
487	182	149	7 (1998) 130.
488	183	120	91.
489	183	123	
490	183	134	33 (1915) 154.
491	183	149	6 (1997) 226.
492	184	120	91.
493	184	123	
494	184	134	33 (1915) 186.
495	184	149	7 (1998) 20.
496	185	123	
497	185	134	33 (1915) 220.
498	185	149	8 (1999) 13.
499	186	120	91.
500	186	123	
501	186	134	33 (1915) 223.
502	186	136	8 (1904) 363.
503	186	149	7 (1998) 180.
504	187	35	4.
505	187	127	19.
506	187	136	9 (1908) 244.
507	188	16	2, 1530.
508	189	16	3, 114.
509	190	4	82 (1992) 111.
510	190	36	1058.
511	190	120	84, 86.
512	190	149	7 (1998) 19.
513	190	176	
514	191	15	40 (1954) 151.
515	191	120	87.
516	191	149	7 (1998) 25.
517	191	176	
518	192	15	40 (1954) 151.
519	192	120	90.
520	192	123	
