	IDRegent	IDBron	deel en paginanummer
352	2912	2	55 (1969) 130.
353	2913	1	80 (1989) 288.
354	2914	1	80 (1989) 445.
355	2917	1	80 (1989) 611.
356	2917	3	IV, 377.
357	2917	13	55.
358	2918	1	81 (1990/1991) 65.
359	2920	1	81 (1990/1991) 413.
360	2921	1	82 (1992) 75.
361	2923	1	82 (1992) 149.
362	2924	1	82 (1992) 249.
363	2924	3	I, 821.
364	2926	2	34 (1948) 133.
365	2927	1	83 (1993) 529.
366	2928	1	84 (1994) 8.
367	2928	14	438.
368	2930	2	31 (1945) 111.
369	2931	1	84 (1994) 261.
370	2931	3	IX, 331.
371	2932	1	84 (1994) 223.
372	2932	3	VIII, 728.
373	2933	1	85 (1995) 252.
374	2934	1	85 (1995) 485.
375	2934	3	VIII, 880.
376	2934	13	126.
377	2934	14	366.
378	2935	2	22 (1935/1936) 198.
379	2936	1	87 (1998) 24.
380	2936	3	VIII, 1006.
381	2936	13	146.
382	2937	1	87 (1998) 435.
383	2938	1	87 (1998) 637.
384	2938	3	VII, 813.
385	2939	1	88 (1999) 25.
386	2940	1	89 (2000/2001) 15.
387	2940	3	II, 977.
388	2941	1	89 (2000/2001) 84.
389	2941	13	174.
390	2942	3	VII, 926.
391	2944	1	89 (2000/2001) 270.
392	2945	1	89 (2000/2001) 287.
393	2945	3	IX, 748.
394	2947	2	12 (1921/1922) 134.
395	2948	1	43 (1950)  143.
396	2949	1	43 (1950)  151.
397	2950	1	43 (1950)  291.
398	2950	3	IX, 860.
399	2950	13	198.
400	2951	2	51 (1965) 275.
401	2952	1	44 (1951) 84.
402	2953	2	52 (1966) 337.
403	2953	3	VII, 1136.
404	2954	1	44 (1951) 289.
405	2954	13	214.
406	2955	1	44 (1951) 467.
407	2956	1	44 (1951) 502.
408	2957	2	50 (1964) 404.
409	2957	3	I, 1488.
410	2958	2	36 (1950) 336.
411	2959	1	45 (1952) 79.
412	2959	3	IX, 1081.
413	2960	2	22 (1935/1936) 356.
414	2961	2	21 (1933/1934) 383.
415	2963	1	46 (1953) 322.
416	2964	2	31 (1945) 332.
417	2965	1	46 (1953) 335.
418	2966	1	46 (1953) 553.
419	2966	13	263.
420	2966	14	474.
421	2967	2	25 (1939) 22.
422	2968	2	60 (1974) 26.
423	2968	3	X, 13.
424	2969	3	X, 17.
425	2970	3	VIII, 54.
426	2971	2	77 (1993) 83.
427	2972	2	77 (1993) 138.
428	2972	3	IV, 342.
429	2973	1	80 (1989) 572.
430	2973	3	VII, 233.
431	2974	2	77 (1993) 183.
432	2974	3	IX, 142.
433	2974	13	62.
434	2975	13	89.
435	2976	3	VIII, 660.
436	2979	1	84 (1994) 183.
437	2979	3	X, 329.
438	2980	1	84 (1994) 370.
439	2980	3	X, 343.
440	2983	1	43 (1950)  237.
441	2983	3	III, 1066.
442	2983	13	195.
443	2984	1	43 (1950)  253.
444	2984	3	X, 801.
445	2984	13	194.
446	2985	2	27 (1941) 305.
