	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode	Eindcontrole
919	956	Wijkerslooth de Weerdesteyn	de	3.0	1.0	Henricus Jacobus	1		Weerdesteyn		1752.0	0	1808.0	0		2	1
920	957	Zeper		1.0	1.0	Pier	0				1761.0	0	1845.0	0		2	1
921	958	Zonsbeek	van	1.0	1.0	Petrus	0				1763.0	0	1847.0	0	Overig: op 20 december 1798 gekozen in het Departementaal Bestuur van de Delf, dat niet is geïnstalleerd voordat hij representant werd in het Vertegenwoordigend Lichaam..	2	1
922	959	Zoo	van der	1.0	1.0	Gerard	0				1743.0	0	1826.0	0		2	1
923	960	Zubli		1.0	1.0	Ambrosius Justus	0				1751.0	0	1820.0	0		2	1
924	962	Bruyn	de	1.0	4.0	Jacobus Nicolaas	0				1751.0	0	1800.0	0		2	1
925	963	Folkers		1.0	1.0	Willem	0				1725.0	0	1809.0	0		2	1
926	964	Gockinga		1.0	1.0	Scato François	0				1753.0	0	1796.0	0		2	1
927	965	Hylckama	van	1.0		Johan Petrus	0				1749.0	0	1816.0	0		2	1
928	966	Lewe van Aduard		1.0	1.0	Otto	0				1752.0	0	1821.0	0		2	1
929	967	Lichtenbergh	van	1.0	1.0	Carel Johan	0				1738.0	0	1811.0	0		2	1
930	969	Vegelin van Claerbergen		1.0	4.0	Assuerus	1	jonkheer			1735.0	0	1820.0	0		2	1
931	970	Andreae	Beucker	1.0	4.0	Daniël Hermanus	0				1772.0	0	1828.0	0	Overig: Andreae werd in mei 1806 aangesteld als Advocaat-Fiscaal van de Middelen te Lande in Friesland.	2	1
932	971	Helmcke		1.0	1.0	Hendrik François	0					0		0		2	1
933	972	Schultens		1.0	4.0	J.J.	0					0		0		2	1
934	973	Swinderen	van	1.0	4.0	Abraham Quevellerius	0				1736.0	0	1808.0	0	Overig: op 9 maart 1799 werd Van Swinderen benoemd tot raadsheer in het Departementaal Gerechtshof van de Eems, dat echter nooit heeft gefunctioneerd.	2	1
935	974	Gaveren	de	1.0	4.0	Pytter	0				1763.0	0	1814.0	0	Overig: op 9 maart 1799 werd Van Gaveren benoemd tot raadsheer in het Departementaal Gerechtshof van de Eems, dat echter nooit heeft gefunctioneerd.	2	1
936	975	Peer	van	1.0	4.0	Antonius	0				1760.0	0	1826.0	0	Overig: op 9 maart 1799 werd Van Peer benoemd tot raadsheer in het Departementaal Gerechtshof van de Eems, dat echter nooit heeft gefunctioneerd.	2	1
937	976	Homan		1.0	4.0	Herman Georg	0				1746.0	0	1812.0	0	Overig: op 9 maart 1799 werd Homan benoemd tot raadsheer in het Departementaal Gerechtshof van de Eems, dat echter nooit heeft gefunctioneerd.	2	1
938	977	Tjassens		1.0	4.0	Herman	0				1735.0	0	1809.0	0	Overig: op 9 maart 1799 werd Tjassens benoemd tot raadsheer in het Departementaal Gerechtshof van de Eems, dat echter nooit heeft gefunctioneerd.	2	1
939	978	Haersma	van	1.0	4.0	Arent Aulus	0				1762.0	0	1803.0	0	Overig: op 9 maart 1799 werd Van Haarsma benoemd tot raadsheer in het Departementaal Gerechtshof van de Eems, dat echter nooit heeft gefunctioneerd.	2	1
940	979	Vromans		1.0	4.0	Pieter	0				1745.0	0	1825.0	0	Overig: op 19 maart 1799 werd Vromans benoemd in het Departementaal Gerechtshof van de Delf, dat echter nooit heeft gefunctioneerd.	2	1
941	980	Baelde		1.0	4.0	Rudolf	0				1743.0	0	1816.0	0	Overig: op 19 maart 1799 werd Baelde benoemd tot president van het Departementaal Gerechtshof van de Delf, dat echter nooit heeft gefunctioneerd. Een benoeming in het Keizerlijk Gerechtshof heeft hij niet aangenomen.	2	1
942	981	Hartman		1.0	4.0	Nicolaas Willem	0				1746.0	0	1809.0	0	Overig: op 19 maart 1799 werd Hartman benoemd in het Departementaal Gerechtshof van de Delf , dat echter nooit heeft gefunctioneerd.	2	1
943	983	Noodt		1.0	4.0	Willem	0				1753.0	0	1818.0	0	Overig: op 19 maart 1799 werd Noodt benoemd in het Departementaal Gerechtshof van de Delf, dat echter nooit heeft gefunctioneerd.	2	1
944	984	Wils	Boursse	1.0	4.0	Hendrik	0					0		0	"Overig: was tijdens benoeming tot raadsheer in de Raad van Vlaanderen advocaat te Middelburg.
Op 19 maart 1799 werd Boursse Wils benoemd in het Departementaal Gerechtshof van de Delf, dat echter nooit heeft gefunctioneerd."	2	1
945	986	Bommel	van	1.0	4.0	Bernardus	0					0	1831.0	0	Overig: op 6 juni 1799 werd Van Bommel benoemd tot raadsheer in het Departementaal Gerechtshof van de Amstel, dat nooit heeft gefunctioneerd.	2	1
946	987	Marck	van der	1.0	4.0	Antonius Adrianus	0					0		0	Overig: op 6 juni 1799 werd Van der Marck benoemd tot raadsheer in het Departementaal Gerechtshof van de Amstel, dat nooit heeft gefunctioneerd.	2	1
947	988	Betmer		1.0	4.0	Dirk Jacob	0					0		0	Overig: op 6 juni 1799 werd Betmer benoemd tot raadsheer in het Departementaal Gerechtshof van de Amstel, dat nooit heeft gefunctioneerd.	2	1
948	989	Gales		1.0	4.0	G.J.	0					0		0	Overig: op 6 juni 1799 werd Gales benoemd tot raadsheer in het Departementaal Gerechtshof van de Amstel, dat nooit heeft gefunctioneerd.	2	1
949	990	Visscher		1.0	4.0	Cornelis Wouter	0				1734.0	0	1802.0	0	Overig: op 6 juni 1799 werd Visscher benoemd tot raadsheer in het Departementaal Gerechtshof van de Amstel, dat nooit heeft gefunctioneerd.	2	1
950	991	Burgkley Glimmer		1.0	1.0	Everhard Everwijn	0					0		0	Overig: op 6 juni 1799 werd Burgkley Glimmer benoemd tot raadsheer in het Departementaal Gerechtshof van de Amstel, dat nooit heeft gefunctioneerd.	2	1
951	992	Simons		1.0	4.0	J.M.	0					0		0	Overig: op 6 juni 1799 werd Simons benoemd tot raadsheer in het Departementaal Gerechtshof van de Amstel, dat nooit heeft gefunctioneerd.	2	1
952	993	Petersom Ramring	van	1.0	4.0	Samuel Anton Nicolaas	0				1766.0	0	1811.0	0	Overig: op 12 april 1799 werd Petersom Ramring benoemd tot raadsheer in het Departementaal Gerechtshof van de Dommel, dat echter nooit heeft gefunctioneerd.	2	1
953	996	Engelen van Strijen		1.0	4.0	Carel Benjamin	0				1752.0	0	1818.0	0	Overig: op 12 april 1799 werd Engelen van Strijen benoemd tot raadsheer in het Departementaal Gerechtshof van de Dommel, dat echter nooit heeft gefunctioneerd.	2	1
954	997	Changuion		1.0	4.0	Pierre Jean	0				1763.0	0	1820.0	0	Overig: op 12 april 1799 werd Changuion benoemd tot raadsheer in het Departementaal Gerechtshof van de Dommel, dat echter nooit heeft gefunctioneerd.	2	1
955	999	Gallé		1.0	4.0	François Jacob	0				1736.0	0	1809.0	0	Overig: op 12 april 1799 werd Gallé benoemd tot raadsheer in het Departementaal Gerechtshof van de Dommel, dat echter nooit heeft gefunctioneerd.	2	1
956	1000	Gendt	van	1.0	4.0	Willem Godard Johan	0				1757.0	1	1830.0	0	Overig: op 12 april 1799 werd Van Gendtt benoemd tot raadsheer in het Departementaal Gerechtshof van de Dommel, dat echter nooit heeft gefunctioneerd.	2	1
957	1001	Hasselt	van	1.0	4.0	Barthold	0				1741.0	0	1819.0	0		2	1
958	1003	Valk		1.0	1.0	C.C. of G.J.	0					0		0		2	1
959	1004	Entrup		1.0	4.0	Willem	0				1739.0	0	1800.0	0		2	1
960	1005	Rhijn	van	1.0	4.0	Nicolaas	0				1748.0	1	1819.0	1		2	1
961	1006	Klein		1.0	4.0	P.P.	0					0		0	Overig: Klein werd op 8 mei 1799 benoemd in het Departementaal Gerechtshof van de Schelde en Maas dat zich zou vestigen te Dordrecht, maar nooit heeft gefunctioneerd.	2	1
962	1007	Riemersma		1.0	4.0	P.C.	0					0		0	Overig: Riemersma werd op 8 mei 1799 benoemd in het Departementaal Gerechtshof van de Schelde en Maas dat zich zou vestigen te Dordrecht, maar nooit heeft gefunctioneerd.	2	1
963	1008	Jongh van Son	de	1.0	4.0	Simon	0				1758.0	0	1820.0	0	Overig: De Jong van Son werd op 8 mei 1799 benoemd in het Departementaal Gerechtshof van de Schelde en Maas dat zich zou vestigen te Dordrecht, maar nooit heeft gefunctioneerd.	2	1
964	1009	Milet		1.0	4.0	Johan Hendrik	0					0		0	"Persoonsgegevens: genoemd in F. Nagtglas, Levensberichten van Zeeuwen 2 (Middelburg 1893) 183, maar zonder leefjaren.
Overig: Milet werd op 8 mei 1799 benoemd in het Departementaal Gerechtshof van de Schelde en Maas dat zich zou vestigen te Dordrecht, maar nooit heeft gefunctioneerd."	2	1
965	1010	Mobachius Quaedt		1.0	4.0	Daniël	0				1765.0	0	1813.0	0	Overig: Mobachius Quaedt werd op 8 mei 1799 benoemd in het Departementaal Gerechtshof van de Schelde en Maas dat zich zou vestigen te Dordrecht, maar nooit heeft gefunctioneerd.	2	1
966	1012	Rijser		1.0	4.0	Hendrik	0				1744.0	0	1825.0	0	Overig: op 25 mei 1799 werd Rijser benoemd tot raadsheer in het Departementaal Gerechtshof van Texel, dat echter nooit heeft gefunctioneerd.	2	1
967	1013	Prangan		1.0	4.0	Willem	0					0		0	Overig: op 25 mei 1799 werd Prangan benoemd tot raadsheer in het Departementaal Gerechtshof van Texel, dat echter nooit heeft gefunctioneerd.	2	1
968	1014	Couvert		1.0	4.0	Willem	0					0		0	Overig: op 25 mei 1799 werd Couvert benoemd tot raadsheer in het Departementaal Gerechtshof van Texel, dat echter nooit heeft gefunctioneerd.	2	1
969	1015	Gallé		1.0	1.0	Nicolaas Jacobus	0				1766.0	0	1832.0	0	Overig: op 25 mei 1799 werd Gallé benoemd tot raadsheer in het Departementaal Gerechtshof van Texel, dat echter nooit heeft gefunctioneerd.	2	1
970	1016	Temminck		1.0	4.0	Matthias	0					0		0	Overig: op 25 mei 1799 werd Temminck benoemd tot raadsheer in het Departementaal Gerechtshof van Texel, dat echter nooit heeft gefunctioneerd.	2	1
971	1017	Froichen		1.0	1.0	Julius Hendrik	0					0		0	Overig: op 25 mei 1799 werd Froichem benoemd tot raadsheer in het Departementaal Gerechtshof van Texel, dat echter nooit heeft gefunctioneerd.	2	1
972	1018	Camerling	Canter	1.0	4.0	Daniël Jacobus	0				1754.0	0	1816.0	0	Overig: op 25 mei 1799 werd Canter Camerling benoemd tot raadsheer in het Departementaal Gerechtshof van Texel, dat echter nooit heeft gefunctioneerd.	2	1
973	1019	Ossenberg	van	1.0	1.0		0					0		0	Overig: op 8 juni 1799 werd Van Ossenberg benoemd tot raadsheer in het Departementaal Gerechtshof van de Rijn, dat echter nooit heeft gefunctioneerd.	2	1
974	1020	Alderwerelt	van	3.0	4.0	Jean Constantijn	1				1748.0	0	1825.0	0	"Adelspredicaat: 1815/adelstitel: 1822.
Overig: op 8 juni 1799 werd Van Alderwerelt benoemd tot raadsheer in het Departementaal Gerechtshof van de Rijn, dat echter nooit heeft gefunctioneerd."	2	1
975	1021	Brueys	de	1.0	4.0	Benjamin	0				1742.0	0	1825.0	0	Overig: op 8 juni 1799 benoemd in het Departementaal Gerechtshof van de Rijn (Utrecht) , dat echter nooit heeft gefunctioneerd.	2	1
