,lokaal_id,lokaal,old_idlokaal
206,206,District Middelburg-B,['batfra_56']
207,207,District Middelburg-II/Vlissingen,['batfra_202']
208,208,District Middelharnis,['batfra_132']
209,209,District Montfoort,['batfra_84']
210,210,District Nieuwerkerk,['batfra_130']
211,211,District Nieuwersluis,['batfra_115']
212,212,District Nijmegen,['batfra_105']
213,213,District Noordwijk,['batfra_145']
214,214,District Oirschot,['batfra_77']
215,215,District Oisterwijk,['batfra_110']
216,216,District Oldenzaal,['batfra_142']
217,217,District Ommen,['batfra_106']
218,218,District Onderdendam,['batfra_48']
219,219,District Oost-Zaandam,['batfra_144']
220,220,District Oosterwierum,['batfra_116']
221,221,District Oss,['batfra_160']
222,222,District Polanen,['batfra_69']
223,223,District Purmerend,['batfra_158']
224,224,District Raalte,['batfra_125']
225,225,District Ridderkerk,['batfra_137']
226,226,District Rotterdam-I,['batfra_72']
227,227,District Rotterdam-II,['batfra_103']
228,228,District Rotterdam-III,['batfra_104']
229,229,District Rotterdam-IV,['batfra_124']
230,230,District Scheemda,['batfra_204']
231,231,District Scheemda-Veendam,['batfra_157']
232,232,District Schiedam,['batfra_151']
233,233,District Schoonhoven,['batfra_86']
234,234,District Sliedrecht,['batfra_200']
235,235,District Sliedrecht-Geertruidenberg,['batfra_76']
236,236,District Sneek,['batfra_85']
237,237,District Soestdijk,['batfra_46']
238,238,District Steenbergen-Bergen op Zoom,['batfra_99']
239,239,District Strijen,['batfra_154']
240,240,District Tiel,['batfra_146']
241,241,District Tilburg,"['batfra_58', 'batfra_100']"
242,242,District Utrecht-I,['batfra_120']
243,243,District Utrecht-II,['batfra_121']
244,244,District Veendam,['batfra_148']
245,245,District Veghel,['batfra_118']
246,246,District Vlaardingen,['batfra_127']
247,247,District Vollenhove,['batfra_159']
248,248,District Vries,['batfra_91']
249,249,District Wateringen,['batfra_152']
250,250,District Weesp,['batfra_97']
251,251,District West-Zaandam,['batfra_140']
252,252,District Westerkwartier,['batfra_166']
253,253,District Winschoten,['batfra_138']
254,254,District Wolvega,['batfra_126']
255,255,District Zaltbommel,['batfra_78']
256,256,District Zeist,['batfra_47']
257,257,District Zierikzee,['batfra_98']
258,258,District Zuidhorn,['batfra_57']
259,259,District Zutphen,['batfra_131']
260,260,District Zweelo,['batfra_134']
261,261,District Zwolle,['batfra_67']
262,262,Doesburg,"['batfra_295', 'negentiende_eeuw_226', 'republiek_43']"
263,263,Doesburg (plattelandsdistrict),['negentiende_eeuw_234']
264,264,Doetinchem,"['batfra_296', 'negentiende_eeuw_16', 'republiek_49']"
265,265,Dokkum,"['batfra_395', 'negentiende_eeuw_17', 'divperioden_35']"
266,266,Doniawerstal,"['batfra_391', 'negentiende_eeuw_164', 'divperioden_26']"
267,267,Doornspijk,['batfra_272']
268,268,Doorwerth,['batfra_285']
269,269,Dordrecht,"['batfra_463', 'negentiende_eeuw_18', 'me_12', 'republiek_2']"
270,270,Dorpen rond Bussum,['batfra_497']
271,271,Dorpen rond Castricum,['batfra_476']
272,272,Dorpen rond Haarlem,['batfra_477']
273,273,Dorpen rond Hillegom,['batfra_474']
274,274,Dorpen rond Ouder- en Nieuweramstel,['batfra_499']
275,275,Dorpen rond Raamsdonk,['batfra_492']
276,276,Dorpen rond Zevenbergen,['batfra_491']
277,277,Dronrijp,['negentiende_eeuw_195']
278,278,Dwingeloo,['batfra_409']
279,279,Echt,['negentiende_eeuw_205']
280,280,Edam,"['batfra_461', 'negentiende_eeuw_19', 'republiek_16']"
281,281,Ede,"['batfra_267', 'negentiende_eeuw_242']"
282,282,Eelde,['batfra_411']
283,283,Eerste Departement - Angerlo,['batfra_302']
284,284,Eerste Departement - Bahr en Latum,['batfra_303']
285,285,Eerste Departement - Beek,['batfra_300']
286,286,Eerste Departement - Didam,['batfra_301']
287,287,Eerste Departement - Drempt,['batfra_305']
288,288,Eerste Departement - Hoog- en Laag-Keppel,['batfra_306']
289,289,Eerste Departement - Westervoort,['batfra_304']
290,290,Eerste Edele,['republiek_27']
291,291,Eijsden,['negentiende_eeuw_217']
292,292,Eindhoven,['negentiende_eeuw_20']
293,293,Elburg,"['batfra_265', 'negentiende_eeuw_227', 'republiek_55']"
294,294,Elst,['negentiende_eeuw_21']
295,295,Emmen,['batfra_422']
296,296,Engwirden,['divperioden_27']
297,297,Enkhuizen,"['batfra_452', 'negentiende_eeuw_142', 'republiek_15']"
298,298,Enschede,['negentiende_eeuw_22']
299,299,Epe,['batfra_275']
300,300,Ermelo,['batfra_271']
301,301,Ferwerderadeel,"['batfra_184', 'negentiende_eeuw_165', 'divperioden_7']"
302,302,Franeker,"['batfra_398', 'negentiende_eeuw_23', 'divperioden_33']"
303,303,Franekeradeel,"['batfra_178', 'negentiende_eeuw_166', 'divperioden_15']"
304,304,Gaasterland,"['negentiende_eeuw_167', 'divperioden_30']"
305,305,Gaasterland-Sloten,['batfra_183']
306,306,Gasselte,"['batfra_432', 'negentiende_eeuw_73']"
307,307,Gasselternijveen,['batfra_406']
308,308,Geertruidenberg,"['batfra_488', 'negentiende_eeuw_107']"
309,309,Geervliet,['negentiende_eeuw_125']
310,310,Geldermalsen,['negentiende_eeuw_243']
311,311,Gemert/Asten,['negentiende_eeuw_99']
312,312,Geëligeerden van Utrecht,['republiek_32']
313,313,Gieten,['batfra_433']
314,314,Giethoorn,['batfra_220']
315,315,Ginneken,['negentiende_eeuw_103']
316,316,Goes,"['batfra_359', 'negentiende_eeuw_24', 'republiek_22']"
317,317,Goor,['batfra_221']
318,318,Gorinchem,"['batfra_459', 'negentiende_eeuw_25', 'me_11', 'republiek_9']"
319,319,Gouda,"['batfra_446', 'negentiende_eeuw_26', 'me_9', 'republiek_7']"
320,320,Grafhorst,['batfra_222']
321,321,Gramsbergen,['batfra_223']
322,322,Grave,['negentiende_eeuw_27']
323,323,Grave en het Land van Cuijk,['batfra_372']
