,functie_id,functie,old_idfunctie
162,162,eerste Boekhouder,['batfra_689']
163,163,eerste Kabinetssecretaris,['batfra_683']
164,164,eerste aalmoezenier van de koning,['batfra_440']
165,165,eerste advocaat-generaal,['negentiende_eeuw_37']
166,166,eerste commies,['batfra_567']
167,167,eerste commies notularis,['batfra_606']
168,168,eerste commissaris van het commissariaat der Franse troepen in soldij der Bataafse Republiek,['batfra_101']
169,169,eerste griffier,"['batfra_555', 'negentiende_eeuw_38']"
170,170,eerste klerk,['batfra_585']
171,171,eerste president,['negentiende_eeuw_39']
172,172,eerste president van de staatsraad,['batfra_391']
173,173,eerste presiderende raad,['divperioden_23']
174,174,eerste secretaris,['batfra_32']
175,175,eerste voorzitter van het Hof van Rekeningen van het Koninkrijk Holland,['batfra_245']
176,176,employé,['batfra_572']
177,177,employé Frans Bureau,['batfra_648']
178,178,essayeur-generaal,['batfra_335']
179,179,expediteur,['batfra_711']
180,180,extraordinaris bestuursraad,['divperioden_10']
181,181,extraordinaris commies-generaal van de con. en lic,['republiek_64']
182,182,extraordinaris expediteur,['batfra_712']
183,183,extraordinaris gecommiteerde,['republiek_80']
184,184,extraordinaris gedeputeerde,['republiek_85']
185,185,extraordinaris klerk,['batfra_615']
186,186,extraordinaris klerk ter assistentie van de Agent,['batfra_574']
187,187,extraordinaris raad,['batfra_633']
188,188,extraordinaris raadsheer,"['me_86', 'divperioden_2', 'republiek_3']"
189,189,gecommitteerde,"['batfra_725', 'me_37', 'divperioden_14', 'republiek_1']"
190,190,gedeputeerde,"['batfra_700', 'divperioden_13', 'republiek_50']"
191,191,geheim secretaris,['negentiende_eeuw_59']
192,192,geheimklerk,['batfra_599']
193,193,generaalmeester van de Munt,['batfra_698']
194,194,gouverneur,"['batfra_289', 'negentiende_eeuw_50', 'me_50']"
195,195,gouverneur van Kaap de Goede Hoop,['batfra_512']
196,196,gouverneur-generaal,['batfra_483']
197,197,gouverneur-generaal van Oost-Friesland,['batfra_493']
198,198,gouverneur-generaal van de gewapende macht,['negentiende_eeuw_17']
199,199,gouverneur-général des départements de la Hollande,['batfra_76']
200,200,grand Chambellan,['batfra_521']
201,201,grand maréchal du Palais,['batfra_109']
202,202,grand maître,['batfra_74']
203,203,grand-chancellier,['batfra_128']
204,204,grand-trésorier,['batfra_718']
205,205,griffier,"['batfra_343', 'negentiende_eeuw_2', 'me_9', 'divperioden_9', 'republiek_15']"
206,206,groot-kanselier,['batfra_384']
207,207,groot-thesaurier,['batfra_385']
208,208,grootceremoniemeester,['batfra_376']
209,209,grootkamerheer,['batfra_374']
210,210,grootmaarschalk van het Paleis,['batfra_375']
211,211,grootmeester,['batfra_382']
212,212,grootmeester der Wapenen,['batfra_685']
213,213,grootmeester van het huis van de Koning,['batfra_83']
214,214,"général de division, commandant de la trente-unième division",['batfra_250']
215,215,hoofd,['me_33']
216,216,hoofd-administrateur van het mortificatiefonds,['batfra_453']
217,217,hoofd-commissaris-inspecteur bij de Waterstaat,['batfra_609']
218,218,hoofd-president,['me_32']
219,219,hoofdadministrateur,['negentiende_eeuw_25']
220,220,hoofdambtenaar,['negentiende_eeuw_58']
221,221,hoofdcommies,['batfra_592']
222,222,hoofddirecteur,['negentiende_eeuw_64']
223,223,indexmaker,['batfra_566']
224,224,ingénieur en chef des Ponts et Chaussées,['batfra_227']
225,225,inspecteur,['batfra_652']
226,226,inspecteur de l' imprimerie et de la librairie,['batfra_229']
227,227,inspecteur de la marine à Amsterdam,['batfra_189']
228,228,inspecteur des 32e et 33e légions de la Gendarmerie impériale à Amsterdam,['batfra_251']
229,229,inspecteur en chef de la Loterie à Amsterdam,['batfra_484']
230,230,inspecteur en essayeur-generaal van de munt en van goud- en zilverwerken,['batfra_409']
231,231,inspecteur van de Domeinen,['batfra_597']
232,232,inspecteur van de rivieren,['batfra_624']
233,233,inspecteur van de zeehavens en zeegaten,['batfra_625']
234,234,inspecteur voor het geneeskundige,['batfra_10']
235,235,inspecteur voor het lagere schoolwezen,['batfra_11']
236,236,"inspecteur voor maten en gewichten, tevens adviseur wis-, natuur-, schei- en werktuigkunde",['batfra_12']
237,237,inspecteur-generaal,['batfra_491']
238,238,inspecteur-generaal van de Nationale Middelen,['batfra_643']
239,239,inspecteur-generaal van de waterstaat,['batfra_45']
240,240,inspecteur-général de la gendarmerie impériale,['batfra_70']
241,241,inspecteur-général des Côtes de la Mer du Nord,['batfra_184']
242,242,inspecteur-général des Ponts et Chaussées,['batfra_172']
243,243,inspecteur-général du Service de Santé des Armées,['batfra_233']
244,244,intendant,['batfra_717']
245,245,intendant général de l' Empereur,['batfra_113']
246,246,intendant-generaal,['negentiende_eeuw_54']
247,247,intendant-général,['batfra_510']
248,248,intendant-général de l' intérieur en Hollande,['batfra_78']
249,249,justitieraad,['divperioden_3']
250,250,kabinetsraad,['batfra_676']
251,251,kamerheer,['batfra_634']
252,252,kamerpresident,['negentiende_eeuw_32']
253,253,kanselier,"['me_40', 'republiek_81']"
254,254,kanselier van de koning,['batfra_6']
255,255,kapitein-generaal van de jacht,['batfra_355']
256,256,kassier,['batfra_692']
257,257,keizer van Frankrijk,['batfra_49']
258,258,keizerin van Frankrijk,['batfra_290']
259,259,klerk,['batfra_561']
260,260,klerk bij de commies indexmaker,['batfra_618']
261,261,klerk der Derde Klasse,['batfra_602']
262,262,klerk der eerste Klasse,['batfra_600']
263,263,klerk der tweede Klasse,['batfra_601']
264,264,klerk van de cijfers,['batfra_695']
265,265,klerk-expediteur,['batfra_584']
266,266,klerk-indexmaker,['batfra_710']
267,267,klerk-notularis,['batfra_598']
268,268,koning van Holland,['batfra_5']
269,269,koningin van Holland,['batfra_77']
270,270,kopiist geheime stukken,['batfra_580']
271,271,kwartierdrost (drost),['batfra_546']
272,272,landdrost,['batfra_395']
273,273,landrentmeester-generaal,['me_48']
274,274,lands-fiscaal,['batfra_589']
275,275,landsadvocaat,"['batfra_582', 'republiek_16']"
276,276,landsastronomist,['batfra_43']
277,277,landschrijver,['batfra_578']
278,278,lid,"['batfra_338', 'negentiende_eeuw_1', 'me_34', 'divperioden_19', 'divperioden_29', 'republiek_28', 'republiek_76']"
279,279,lid (in gewone dienst),['batfra_525']
280,280,lid van de commissie van superintendentie tot de zaken van de verpondingen,['batfra_513']
281,281,lid van de raad van administratie over de Waterstaat,['batfra_507']
282,282,lid van de waterstaat,['batfra_576']
283,283,lid van het Comité Centraal van Marine en Koloniën,['batfra_486']
284,284,lieutenant-général de l' empereur,['batfra_75']
285,285,luitenant,['republiek_79']
286,286,maarschalk,['republiek_83']
287,287,maire van Rotterdam,['batfra_273']
288,288,maire van Utrecht,['batfra_412']
289,289,maître des Requêtes au Conseil d' État en service extraordinaire,['batfra_155']
290,290,maître des Requêtes chargé du Service des Ponts et Chaussées en Hollande,['batfra_86']
291,291,maître des requêtes directeur des polders,['batfra_218']
292,292,meesterknecht,['batfra_614']
293,293,membre,['batfra_165']
294,294,membre du Conseil Général de Commerce,['batfra_169']
295,295,membre du Conseil général,['batfra_553']
296,296,minister,"['batfra_9', 'negentiende_eeuw_13']"
297,297,minister a.i.,['negentiende_eeuw_15']
298,298,minister secretaris van staat,['batfra_1']
299,299,minister van staat,['negentiende_eeuw_26']
300,300,minister vice-president,['batfra_7']
301,301,ministre,['batfra_55']
302,302,ministre (grand juge),['batfra_528']
303,303,ministre secrétaire d' État,['batfra_501']
304,304,momber,"['me_41', 'republiek_82']"
305,305,momber (Procureur-generaal),['batfra_548']
306,306,officier van criminele justitie,['negentiende_eeuw_45']
307,307,onderklerk,['batfra_697']
308,308,ontvanger exploiten,['me_52']
309,309,ontvanger van de exploten,['republiek_53']
310,310,ontvanger-generaal,"['batfra_414', 'me_21', 'divperioden_20', 'republiek_17']"
311,311,ontvanger-generaal Domeinen,['batfra_639']
312,312,ontvanger-generaal Holland,['batfra_716']
313,313,ontvanger-generaal in het Noorderkwartier,['republiek_26']
314,314,ontvanger-generaal van Holland,['republiek_72']
315,315,ontvanger-generaal van Zeeland,['republiek_69']
316,316,ontvanger-generaal van de Unie,['republiek_18']
317,317,ontvanger-generaal van de administratie te lande,['batfra_492']
318,318,opperboekhouder,['batfra_681']
319,319,opperdirecteur,['negentiende_eeuw_65']
320,320,opperjagermeester,['batfra_356']
321,321,opperstalmeester,['batfra_82']
322,322,opzichter der gebouwen,['batfra_706']
323,323,ordinaris gedeputeerde,"['divperioden_15', 'republiek_8']"
324,324,ordinaris klerk,['batfra_704']
325,325,ordinaris raadsheer,['republiek_2']
326,326,overste,['me_89']
327,327,particulier secretaris van Lodewijk Napoleon,['batfra_358']
328,328,pensionaris,['divperioden_22']
329,329,permanente commissaris Verificateur,['batfra_682']
330,330,postmeester-generaal,['negentiende_eeuw_23']
331,331,premier président,['batfra_71']
332,332,president,"['batfra_84', 'negentiende_eeuw_41', 'me_17', 'republiek_84']"
333,333,president Cohier Verponding,['batfra_679']
334,334,president der zeewerken,['batfra_573']
335,335,president van de commissie van superintendentie tot de zaken van de Verpondingen,['batfra_497']
336,336,president van het kohier van de verponding,['batfra_524']
337,337,president-raadsheer,"['me_88', 'divperioden_4', 'republiek_4']"
338,338,procureur,['me_56']
339,339,procureur-generaal,"['batfra_321', 'negentiende_eeuw_24', 'me_24', 'divperioden_7', 'republiek_19']"
340,340,procureur-generaal civiel,['republiek_49']
341,341,procureur-generaal crimineel,['republiek_48']
342,342,procureur-général-impérial,['batfra_116']
343,343,procureur-général-impérial à La Haye,['batfra_280']
344,344,provisioneel minister,['batfra_562']
345,345,provisioneel secretaris,['batfra_560']
346,346,provisioneel secretaris-generaal,['batfra_429']
347,347,préfet,['batfra_123']
348,348,préfet maritime de Hollande,['batfra_529']
349,349,président,['batfra_217']
350,350,président de la section de Cassation Criminelle,['batfra_488']
351,351,président de la section de cassation civile,['batfra_523']
352,352,président de la section de l' Intérieur,['batfra_527']
353,353,président de la section des requêtes,['batfra_511']
354,354,président du Conseil,['batfra_487']
355,355,président délégué,['batfra_48']
356,356,raad,"['batfra_307', 'negentiende_eeuw_63']"
357,357,raad en advocaat-fiscaal-generaal,['negentiende_eeuw_48']
358,358,raad-auditeur,"['batfra_540', 'negentiende_eeuw_33']"
359,359,raad-secretaris,['batfra_8']
360,360,raadadviseur,['negentiende_eeuw_56']
361,361,raadpensionaris,"['batfra_81', 'republiek_20']"
362,362,raadsheer,"['batfra_504', 'negentiende_eeuw_34', 'me_35', 'divperioden_5', 'republiek_5']"
363,363,raadsheer en momber,['me_42']
364,364,rang nog onbekend,['batfra_629']
365,365,rechter,['negentiende_eeuw_43']
366,366,recteur de l' Académie de Groningue,['batfra_287']
367,367,recteur de l' Académie de Leyde,['batfra_288']
368,368,redenaar,['batfra_451']
369,369,referendaris,['negentiende_eeuw_7']
370,370,referendaris eerste klasse,['negentiende_eeuw_8']
371,371,referendaris tweede klasse,['negentiende_eeuw_9']
372,372,rekenmeester,"['me_1', 'republiek_57']"
373,373,rekenmeester-extraordinaris,['me_14']
374,374,rentmeester-generaal,"['me_27', 'divperioden_12']"
375,375,representant,['batfra_494']
376,376,requestmeester-generaal,['batfra_30']
377,377,référendaire de la seconde classe,['batfra_225']
378,378,secretaris,"['batfra_303', 'negentiende_eeuw_6', 'me_11', 'divperioden_6', 'republiek_21']"
379,379,secretaris ad interim der Financie,['batfra_545']
380,380,secretaris commissie Binnenlandse Correspondentie,['batfra_709']
381,381,secretaris commissie Buitenlandse Zaken,['batfra_702']
382,382,secretaris departement van de jacht,['batfra_715']
383,383,secretaris der cijfers,['negentiende_eeuw_60']
384,384,secretaris der wetenschappen en kunsten,['batfra_502']
385,385,secretaris en lid van het Comité Centraal van Marine en Waterstaat,['batfra_482']
386,386,secretaris onder orders van de Provisionele raad van Regentschap,['batfra_426']
387,387,secretaris politieke correspondentie (secrétaire des commandements),['batfra_360']
388,388,secretaris sectie Staatsraad,['batfra_27']
389,389,secretaris van Staat,['batfra_361']
390,390,secretaris van de cijfers van de Staat,['batfra_591']
391,391,secretaris van de commissie van superintendentie tot de zaken van de verpondingen,['batfra_518']
392,392,secretaris van de eerste Kamer,['batfra_587']
393,393,secretaris van het commandement van het Gouvernement van Holland,['batfra_530']
394,394,secretaris van het departement,['batfra_500']
395,395,secretaris van staat,['negentiende_eeuw_12']
396,396,secretaris-adviseur,['negentiende_eeuw_61']
397,397,secretaris-archivist,['batfra_427']
398,398,secretaris-generaal,"['batfra_387', 'negentiende_eeuw_55']"
399,399,secretaris-generaal in Oost-Friesland,['batfra_650']
400,400,secretaris-generaal van de algemene directie van de Waterstaat,['batfra_532']
401,401,secretaris-generaal van het Kohier van de Verponding,['batfra_519']
402,402,secrétaire,['batfra_111']
403,403,secrétaire Conseil Général,['batfra_714']
404,404,secrétaire du Cabinet de l' Empereur,['batfra_522']
405,405,secrétaire-géneral,['batfra_164']
406,406,secrétaire-général de la préfecture,['batfra_515']
407,407,sous-chef,['batfra_559']
408,408,sous-chef division du Nord,['batfra_168']
409,409,sous-inspecteur de première classe de la Marine à Rotterdam,['batfra_190']
410,410,sous-inspecteur de seconde classe de la Marine à Amsterdam,['batfra_191']
411,411,sous-préfet,['batfra_275']
412,412,stadhouder,['me_39']
413,413,stadhouder lenen,['me_72']
414,414,sub-Agent,['batfra_570']
415,415,sub-griffier,['batfra_617']
416,416,substituut secretaris,['republiek_74']
417,417,substituut-advocaat-fiscaal,['negentiende_eeuw_47']
418,418,substituut-griffier,"['batfra_539', 'me_22', 'republiek_22']"
419,419,substituut-momber,['batfra_557']
420,420,substituut-officier,['negentiende_eeuw_44']
421,421,substituut-procureur-generaal,['negentiende_eeuw_35']
422,422,substituut-secretaris,['batfra_526']
423,423,superintendent Bureau Betaling van de Armee,['batfra_626']
424,424,superintendent Koninklijke Courant,['batfra_655']
425,425,sénateur,['batfra_222']
426,426,tabelmaker,['batfra_631']
427,427,thesaurier,['republiek_51']
428,428,thesaurier van de Domeinen,['batfra_596']
429,429,thesaurier-generaal,"['batfra_304', 'me_36']"
430,430,thesaurier-generaal van Zeeland,['republiek_68']
431,431,thesaurier-generaal van de Unie,['republiek_23']
432,432,thesaurier-generaal van de kroon,['batfra_378']
433,433,toegevoegd commies,['batfra_552']
434,434,traducteur,['batfra_684']
435,435,translateur Duits,['batfra_707']
436,436,translateur Frans en Latijn,['batfra_694']
437,437,tweede advocaat-fiscaal,"['divperioden_26', 'republiek_41']"
438,438,tweede agent,['republiek_63']
439,439,tweede commies,['batfra_565']
440,440,tweede commies notularis,"['batfra_569', 'batfra_607']"
441,441,tweede commies-generaal van de convooien en lic.,['republiek_67']
442,442,tweede griffier,"['batfra_556', 'republiek_55']"
443,443,tweede klerk,['batfra_603']
444,444,tweede ontvanger-generaal,['republiek_61']
445,445,tweede procureur-generaal,['republiek_62']
446,446,tweede secretaris,"['batfra_33', 'divperioden_21', 'republiek_42']"
447,447,vice-amiral,['batfra_185']
448,448,vice-consul de France à Hellevoetsluis,['batfra_140']
449,449,vice-president,['negentiende_eeuw_42']
450,450,visitateur-generaal,['batfra_701']
451,451,voorzitter,"['batfra_246', 'negentiende_eeuw_10', 'me_31']"
452,452,waardijn,['batfra_505']
453,453,waarnemend Voorzitter,['batfra_424']
454,454,waarnemend advocaat-generaal,['negentiende_eeuw_36']
455,455,waarnemend commissaris-generaal,['negentiende_eeuw_18']
456,456,waarnemend directeur,['negentiende_eeuw_28']
457,457,waarnemend directeur-generaal,['negentiende_eeuw_22']
458,458,waarnemend eerste griffier,['negentiende_eeuw_31']
459,459,waarnemend minister,['negentiende_eeuw_14']
460,460,waarnemend procureur-generaal,['negentiende_eeuw_29']
461,461,waarnemend secretaris van staat,"['batfra_377', 'negentiende_eeuw_16']"
462,462,zaakverzorger des Konings bij het Hof van Rekening,['batfra_419']
